index,0,1
0,Cyclone Asani near peak intensity on 9 May,Cyclone Asani near peak intensity on 9 May
1,Meteorological history,Meteorological history
2,Formed,7 May 2022
3,Dissipated,12 May 2022
4,Severe cyclonic storm,Severe cyclonic storm
5,3-minute sustained (IMD),3-minute sustained (IMD)
6,Highest winds,100 km/h (65 mph)
7,Lowest pressure,982 hPa (mbar); 29.00 inHg
8,Category 1-equivalent tropical cyclone,Category 1-equivalent tropical cyclone
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,120 km/h (75 mph)
11,Lowest pressure,976 hPa (mbar); 28.82 inHg
12,Overall effects,Overall effects
13,Fatalities,3 total
14,Damage,$323 million (2022 USD)
15,Areas affected,"India (Andhra Pradesh, Tamil Nadu, Karnataka, Odisha, Andaman and Nicobar Islands)"
16,[1][2],[1][2]
17,Part of the 2022 North Indian Ocean cyclone season,Part of the 2022 North Indian Ocean cyclone season
