,0,1
0,Berguitta near peak intensity on 15 January north of Rodrigues,Berguitta near peak intensity on 15 January north of Rodrigues
1,Meteorological history,Meteorological history
2,Formed,11 January 2018
3,Post-tropical,19 January 2018
4,Dissipated,24 January 2018
5,Intense tropical cyclone,Intense tropical cyclone
6,10-minute sustained (MF),10-minute sustained (MF)
7,Highest winds,165 km/h (105 mph)
8,Highest gusts,230 km/h (145 mph)
9,Lowest pressure,960 hPa (mbar); 28.35 inHg
10,Category 3-equivalent tropical cyclone,Category 3-equivalent tropical cyclone
11,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
12,Highest winds,195 km/h (120 mph)
13,Lowest pressure,950 hPa (mbar); 28.05 inHg
14,Overall effects,Overall effects
15,Fatalities,2
16,Missing,1
17,Economic losses,$107 million (2018 USD)
18,Areas affected,"Mauritius, Réunion"
19,IBTrACS,IBTrACS
20,Part of the 2017–18 South-West Indian Ocean cyclone season,Part of the 2017–18 South-West Indian Ocean cyclone season
