index,sentences
0,"Cyclone Carmen(or Windstorm Carmen) was an extratropical cyclone and European windstorm which crossed the Atlantic Ocean and affected the United Kingdom, Ireland, France, Belgium, and the Netherlands in November 2010."
1,"-Meteorological history-
Windstorm Carmen formed as a low-pressure system off the east coast of the United States."
2,"By 9 November, while over Nova Scotia, the system was named ""Carmen"" as it passed into the North Atlantic near and over southern Greenland, Iceland, and the Faroe Islands, which had been suffering from the lesser windstorm Becky since the 5th."
3,"Becky died out over Denmark and Northern Germany on the 12th, and its remnants joined windstorm Carmen over Russia on the 14th."
4,"Due to a strong pressure gradient, gale-force winds were recorded in the United Kingdom."
5,"A 91 mph(146 km/h) wind gust was recorded at Capel Curig, Wales."
6,"Traveling eastward, Carmen eventually attained a central pressure of 949 millibars as it struck the United Kingdom."
7,"At 06:00 UTC on Friday, 12 November 2010, Carmen was over the North Sea, east of Scotland, with a central pressure of approximately 965 mb(965 hPa)."
8,"Carmen was last noted over western Russia on 14 November 2010, as it continued to weaken, and had burnt itself out over the Former Yugoslavia, Eastern Europe, Moscow, and the Gulf of Finland between 18 and 19 November 2010."
9,"-Impact-
--8 November--
High winds and rough seas battered the western coastline of Ireland on the nights of 7–8 November 2010."
10,"Heavy sleet and rain fell across the Irish Republic, Northern Ireland, coastal Lancashire, Cumbria, and coastal Wales on the 8 November."
11,"Minor spot floods hit part of the Salthill promenade in Galway, with traffic diverted through the Salthill village as Assistant Commissioner John Twomey warned of strong winds and debris making driving conditions difficult in Ireland."
12,"---Ireland---
The storm grew in intensity, and a heavy band of rain hit Western Ireland on the morning of 8 November 2010, then Wales and Wessex between 04:00 and 07:00 UTC."
13,"By 09:00 UTC, the rain had reached most of England, Wales, and western Scotland."
14,"Minor flooding was reported in Oxfordshire over Radio Oxford, and the Channel Islands and Normandy's Cotentin peninsula were also hit."
15,"The heaviest rainfall was over patches of southwest Ireland, Pembrokeshire, Bristol, Dumfriesshire, Morecambe Bay, Carlisle, central Lancashire, Sussex, Surrey, parts of the English Channel, and Cherbourg."
16,A crash in County Galway killed two people due to weather-related road conditions.
17,"Another fatal nighttime road accident occurred on the Mountmellick to Emo road at Knightstown, Mountmellick, in which a male cyclist was fatally injured after being hit by a car."
18,A Brazilian man from the English Midlands drowned in a car accident that morning on the Offaly–Westmeath border.
19,"His car skidded off the road between Rhode and Rochfortbridge, hit a roadside bank, and rolled on its roof into the flood-swollen water of the River Monagh on the 8th."
20,"The water levels at Galway Docks and the Claddagh Basin rose violently in the evening as extensive sand-bagging was put in place at the Spanish Arch, Quay Street and Flood Street for the short term."
21,"County Cork was hit by minor flooding, and the owners of Penrose Quay feared heavy tidal flooding of the quay as wind and waves sloshed against it menacingly at evening high tide."
22,"Gardaí Assistant Commissioner Twomey said in a press interview: ""Sadly, so far this year over 190 people were killed on the national roads."
23,"35 people were killed during October, making it one of the worst months for fatalities since February 2008""."
24,He went on to warn of the hazards caused by decreasing seasonal daylight and a greater chance of encountering wet and slippery road surfaces.
25,"In County Galway a van and a bus carrying 27 students from County Mayo to Limerick skidded on groundwater and crashed at Glenafosha outside Tuam just after 7:30 pm, killing both drivers and injuring 12 of the students."
26,"---Northern Ireland---
High winds, driving rain, and occasional snow hit Northern Ireland."
27,"Ice, floods and fallen trees affected most roads."
28,Gale-force winds ripped through Downpatrick and County Londonderry overnight.
29,The Foyle Bridge in the city of Derry was closed to high-sided vehicles due to high winds.
30,"The Glenshane Pass was cleared of snow and gritted, but there were 22 incidents of flooding on roads overnight."
31,Roads throughout the country were closed due to fallen trees and flooding.
32,"---England and France---
In England a major HSE rail investigation was launched after a morning commuter train skidded along Charing Cross to Hastings line on wet leaves."
33,"The train from Charing Cross sped through one station at 65 mph(105 km/h); the terrified driver immediately contacted signal control center to raise the alarm as his train skidded down the track for 2 mi(3.2 km), after he braked when approaching Stonegate railway station in East Sussex."
34,"At midday the Met office issued a severe weather alert for the whole UK as Britain was battered by 70 mph winds(110 km/h), with snow in the north of England and up to 3 inches(76 mm) of rain across the east Midlands, south and south east."
35,"There were gusts of 65 mph(105 km/h) at Berry Head in Devon and 60 mph(97 km/h) in Dundrennan, Dumfries and Galloway."
36,"High winds and waves battered Whitley Bay in North Tyneside and gale-force winds hit parts of London, Penbrokeshire and the Pennines."
37,"Weather overnight caused much chaos in the UK, and periodic gale-force northerly winds hit most of the UK at some time during the night."
38,The worst-affected areas were the northwest and southeast tips of England.
