index,0,1
0,Debbie approaching Queensland shortly after peak intensity on 28 March,Debbie approaching Queensland shortly after peak intensity on 28 March
1,Meteorological history,Meteorological history
2,Formed,23 March 2017
3,Remnant low,30 March 2017
4,Dissipated,7 April 2017
5,Category 4 severe tropical cyclone,Category 4 severe tropical cyclone
6,10-minute sustained (Aus),10-minute sustained (Aus)
7,Highest winds,175 km/h (110 mph)
8,Lowest pressure,949 hPa (mbar); 28.02 inHg
9,Category 4-equivalent tropical cyclone,Category 4-equivalent tropical cyclone
10,1-minute sustained (SSHWS),1-minute sustained (SSHWS)
11,Highest winds,215 km/h (130 mph)
12,Lowest pressure,937 hPa (mbar); 27.67 inHg
13,Overall effects,Overall effects
14,Fatalities,14 total
15,Damage,A$3.5 billion (Second-costliest tropical cyclone in the Australian region basin)
16,Areas affected,"Queensland, New South Wales, New Zealand"
17,IBTrACS,IBTrACS
18,Part of the 2016–17 Australian region cyclone season,Part of the 2016–17 Australian region cyclone season
