,0,1
0,Cyclone Ernest west of Madagascar,Cyclone Ernest west of Madagascar
1,Meteorological history,Meteorological history
2,Formed,"January 16, 2005"
3,Extratropical,"January 24, 2005"
4,Dissipated,"January 25, 2005"
5,Intense tropical cyclone,Intense tropical cyclone
6,10-minute sustained (MFR),10-minute sustained (MFR)
7,Highest winds,165 km/h (105 mph)
8,Lowest pressure,950 hPa (mbar); 28.05 inHg
9,Category 3-equivalent tropical cyclone,Category 3-equivalent tropical cyclone
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,185 km/h (115 mph)
12,Lowest pressure,944 hPa (mbar); 27.88 inHg
13,Overall effects,Overall effects
14,Fatalities,78 total
15,Areas affected,"Mayotte, Madagascar"
16,IBTrACS,IBTrACS
17,Part of the 2004–05 South-West Indian Ocean cyclone season,Part of the 2004–05 South-West Indian Ocean cyclone season
