index,0,1
0,Cyclone Giri near peak intensity on October 22,Cyclone Giri near peak intensity on October 22
1,Meteorological history,Meteorological history
2,Formed,"October 20, 2010"
3,Dissipated,"October 23, 2010"
4,Extremely severe cyclonic storm,Extremely severe cyclonic storm
5,3-minute sustained (IMD),3-minute sustained (IMD)
6,Highest winds,195 km/h (120 mph)
7,Lowest pressure,950 hPa (mbar); 28.05 inHg
8,Category 4-equivalent tropical cyclone,Category 4-equivalent tropical cyclone
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,250 km/h (155 mph)
11,Lowest pressure,922 hPa (mbar); 27.23 inHg
12,Overall effects,Overall effects
13,Fatalities,"157 direct, 10 indirect"
14,Damage,$359 million (2010 USD)
15,Areas affected,"Myanmar, Bangladesh, Thailand, Yunnan"
16,IBTrACS,IBTrACS
17,Part of the 2010 North Indian Ocean cyclone season,Part of the 2010 North Indian Ocean cyclone season
