,sentences
0,Tropical Cyclone Gombe was a strong tropical cyclone that affected Mozambique.
1,It became the first storm to make a major landfall in Nampula Province in Mozambique since Cyclone Jokwe in 2008.
2,"The eighth tropical storm, fourth tropical cyclone and fourth intense tropical cyclone of the 2021–22 South-West Indian Ocean cyclone season, Gombe originated from a tropical disturbance located off the coast of Madagascar."
3,This area of convection was designated by the Joint Typhoon Warning Center as Invest 97S on 6 March.
4,"The next day, it began to slowly move westward and executed a loop as it became more organized, which prompted Météo-France Reunion(MFR) to note the system as Zone of Disturbed Weather 09."
5,"The system became a depression on 9 March, and became a moderate tropical storm the same day."
6,"Soon after being named, Gombe made landfall in Madagascar, and entered in the Mozambique Channel the next day."
7,"The storm continued its westward motion while slowly intensifying, and was upgraded to a Tropical Cyclone by the MFR on 10 March."
8,"Closing in on Nampula Province, the storm underwent rapid intensification, and was upgraded to the fourth Intense Tropical Cyclone of the year and reached its peak intensity on 11 march, with maximum 10-minute sustained winds of 165 km/h(105 mph), maximum 1-minute sustained winds of 185 km/h(115 mph), and a minimum central pressure of 960 hectopascals(28 inHg)."
9,"The storm proceeded to make landfall, and quickly lost its convection over land."
10,"On 12 March, Gombe degenerated into a remnant low overland."
11,"However, the system subsequently turned southeastward and reemerged over water, before briefly regenerating into a tropical depression on 17 March."
12,Gombe dissipated later that day.
13,"Cyclone Gombe killed 72 people across three countries: 63 in Mozambique, 7 in Malawi, and 2 in Madagascar."
14,"Tens of thousands of homes were heavily damaged by the storm in Mozambique, and left hundreds of thousands of families without power across Nampula."
15,"Gombe affected thousands of hectares of crops, dropped 200 mm(7.9 in) of rain in 24 hours."
16,The Island of Mozambique also experienced some damage from the storm.
17,Aon estimated the damage caused by Gombe was US$99 million.
18,"-Meteorological history-
Cyclone Gombe originated from a zone of disturbed weather that the Météo-France on Réunion(MFR) noted on 6 March, located about 280 nmi(320 mi; 520 km) from Mauritius, moving northeast slowly."
19,"The system organized its circulation and became active convectively, which prompted the Joint Typhoon Warning Center(JTWC) to designate the system as Invest 97S hours later, and at 11:40 UTC, issued a Tropical Cyclone Formation Alert(TCFA), noting warm sea surface temperatures of 28–29 °C(82–84 °F) along with low wind shear."
20,"As it executed a counterclockwise loop, the MFR upgraded the storm to a tropical depression at noon on 7 March, and upgraded it to a moderate tropical storm; the Mauritius Meteorological Services named it Gombe."
21,"The JTWC followed suit, and classified it as Tropical Cyclone 19S at 18:00 UTC that day."
22,"On 8 March, Gombe made landfall in the Sava Region of Madagascar, and the MFR downgraded the system to an overland depression at 06:00 UTC while it crossed the country, and the JTWC downgraded it to a tropical depression as well."
