,0,1
0,Gombe making landfall in Mozambique at peak intensity on 10 March,Gombe making landfall in Mozambique at peak intensity on 10 March
1,Meteorological history,Meteorological history
2,Formed,5 March 2022
3,Dissipated,17 March 2022
4,Tropical cyclone,Tropical cyclone
5,10-minute sustained (MFR),10-minute sustained (MFR)
6,Highest winds,155 km/h (100 mph)
7,Lowest pressure,955 hPa (mbar); 28.20 inHg
8,Category 3-equivalent tropical cyclone,Category 3-equivalent tropical cyclone
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,185 km/h (115 mph)
11,Lowest pressure,960 hPa (mbar); 28.35 inHg
12,Overall effects,Overall effects
13,Fatalities,72
14,Damage,$99 million (2022 USD)
15,Areas affected,"Madagascar, Mozambique, Malawi"
16,Part of the 2021–22 South-West Indian Ocean cyclone season,Part of the 2021–22 South-West Indian Ocean cyclone season
