index,sentences
0,Very Severe Cyclonic Storm Hikaa(; HEE-kah) was a tropical cyclone that struck eastern Oman in September 2019.
1,"The third named storm of the 2019 North Indian Ocean cyclone season, Hikaa formed on September 22 west of India in the Arabian Sea."
2,"The storm reached peak intensity on September 24, with maximum sustained winds estimated over 140 km/h(85 mph)."
3,"Later that day, the storm made landfall in eastern Oman south of Duqm, and quickly dissipated over the Arabian Peninsula."
4,"-Meteorological history-
An area of convection, or thunderstorms, persisted along the west coast of India on September 19."
5,A distinct low-pressure area developed a day later off the coast of Maharashtra.
6,"By September 21, a circulation was consolidating within the system, located east of the heaviest convection."
7,"The system moved slowly westward across the Arabian Sea, steered by a ridge to north."
8,"Warm water temperatures favored further development, despite moderate wind shear."
9,"Early on September 22, the India Meteorological Department(IMD) designated the system as a depression, and soon upgraded it to a deep depression."
10,"Late on September 22, the American-based Joint Typhoon Warning Center(JTWC) initiated advisories on the system, designating it Tropical Cyclone 03A. At the time, the storm had a compact area of thunderstorms, supported by outflow from the south."
11,"Due to decreasing wind shear and warm, moist air, the system quickly intensified on September 23, prompting the IMD to upgrade the system to Cyclonic Storm Hikaa; later that day the agency upgraded the storm further to a severe cyclonic storm."
12,"During the strengthening phase, an eye feature formed in the center of the convection, indicative of strengthening."
13,"Considering the storm a ""midget tropical cyclone"", the JTWC upgraded Hikaa to the equivalent of hurricane status late on September 23, while the storm was approaching eastern Oman."
14,"The IMD followed suit, upgrading Hikaa to a very severe cyclonic storm on September 24, estimating peak winds of 140 km/h(85 mph)."
15,"Around the same time, the JTWC estimated peak 1 minute winds of 155 km/h(95 mph), based in part on the 26 km(16 mi) eye in the center of the convection."
16,"As Hikaa was nearing land, the eye deteriorated, and the JTWC assessed that the storm weakened."
17,The IMD meanwhile assessed that the cyclone maintained its peak intensity.
18,"Around 14:00 UTC on September 24, Hikaa made landfall in eastern Oman just north of Duqm, becoming the first very severe cyclonic storm on record to strike the country in September."
19,"Before Hikaa, only two depressions had struck Oman in the month of September, in 1929 and 1979."
20,"The storm quickly weakened over land, as dry air and land interaction diminished the convection."
21,"Early on September 25, the IMD downgraded Hikaa to a deep depression, and later to a low-pressure area, by which time the storm was near the border of Oman and Saudi Arabia."
22,"-Preparations and impact-
While Hikaa was first forming, the IMD warned fishermen of the potential of high waves."
23,Officials in Oman advised residents to prepare for the storm and to avoid low-lying areas.
24,"In advance of the storm, all schools were closed in Al Wusta and South Sharqiyah governorates."
25,Ferry service to the offshore Masirah Island was canceled.
26,"About 750 people evacuated to nine shelters in Al Wusta Governorate, where Hikaa moved ashore."
27,"In Duqm near where Hikaa struck Oman, the airport recorded sustained winds of 96 km/h(60 mph), with gusts to 124 km/h(77 mph)."
28,"Hikaa dropped heavy rainfall as it struck eastern Oman, reaching 80 mm(3.1 in) in some locations."
29,The storm also produced 3 to 4 m(9.8 to 13.1 ft) waves.
30,"A deep-sea fishing boat with a crew of 11 capsized off of Masirah Island during the storm; there were five confirmed fatalities from the shipwreck, and one person was rescued."
31,"On the Omani mainland, Hikaa flooded roads and wadis – typically dry riverbeds."
32,"In Haima, six people required rescue when they were trapped on a bus in floodwaters."
33,"Aon estimated the damage total in the ""millions"", based on hundreds of properties reporting damage."
34,"-Notes-

== References =="
