index,0,1
0,Cyclone Hola at peak intensity on 8 March,Cyclone Hola at peak intensity on 8 March
1,Meteorological history,Meteorological history
2,Formed,3 March 2018
3,Extratropical,11 March 2018
4,Dissipated,13 March 2018
5,Category 4 severe tropical cyclone,Category 4 severe tropical cyclone
6,10-minute sustained (FMS),10-minute sustained (FMS)
7,Highest winds,165 km/h (105 mph)
8,Lowest pressure,952 hPa (mbar); 28.11 inHg
9,Category 3-equivalent tropical cyclone,Category 3-equivalent tropical cyclone
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,185 km/h (115 mph)
12,Lowest pressure,950 hPa (mbar); 28.05 inHg
13,Overall effects,Overall effects
14,Fatalities,3 total
15,Areas affected,"Fiji, Vanuatu, New Caledonia, New Zealand"
16,Part of the 2017–18 South Pacific cyclone season,Part of the 2017–18 South Pacific cyclone season
