index,0,1
0,Cyclone Hollanda near peak intensity,Cyclone Hollanda near peak intensity
1,Meteorological history,Meteorological history
2,Formed,6 February 1994
3,Dissipated,15 February 1994
4,Tropical cyclone,Tropical cyclone
5,10-minute sustained (MFR),10-minute sustained (MFR)
6,Highest winds,155 km/h (100 mph)
7,Lowest pressure,940 hPa (mbar); 27.76 inHg
8,Category 3-equivalent tropical cyclone,Category 3-equivalent tropical cyclone
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,195 km/h (120 mph)
11,Overall effects,Overall effects
12,Fatalities,2 total
13,Damage,$135 million (1994 USD)
14,Areas affected,"Mauritius, Réunion"
15,IBTrACS,IBTrACS
16,Part of the 1993–94 South-West Indian Ocean cyclone season,Part of the 1993–94 South-West Indian Ocean cyclone season
