index,sentences
0,Intense Tropical Cyclone Idai() was one of the worst tropical cyclones on record to affect Africa and the Southern Hemisphere.
1,"The long-lived storm caused catastrophic damage, and a humanitarian crisis in Mozambique, Zimbabwe, and Malawi, leaving more than 1,500 people dead and many more missing."
2,Idai is the deadliest tropical cyclone recorded in the South-West Indian Ocean basin.
3,"In the Southern Hemisphere, which includes the Australian, South Pacific, and South Atlantic basins, Idai ranks as the second-deadliest tropical cyclone on record."
4,"The only system with a higher death toll is the 1973 Flores cyclone that killed 1,650 off the coast of Indonesia."
5,"Idai is also the second costliest tropical cyclone in the South-West Indian Ocean basin, behind Cyclone Chido of 2024."
6,"The tenth named storm, seventh tropical cyclone, and seventh intense tropical cyclone of the 2018–19 South-West Indian Ocean cyclone season, Idai originated from a tropical depression that formed off the east coast of Mozambique on 4 March 2019."
7,"The storm, Tropical Depression 11, made landfall in Mozambique later in the day and remained a tropical depression through its five-day trek over land."
8,"On 9 March, the depression re-emerged into the Mozambique Channel and strengthened into Moderate Tropical Storm Idai on the next day."
9,"Idai then began a stint of rapid intensification, reaching an initial peak intensity as an intense tropical cyclone, with sustained winds of 175 km/h(109 mph) on 11 March."
10,"Idai then began to weaken, due to ongoing structural changes within its inner core, falling to tropical cyclone intensity."
11,Idai's intensity remained stagnant for about a day or so before it began to re-intensify.
12,"On 14 March, Idai reached its peak intensity, with maximum sustained winds of 195 km/h(121 mph) and a minimum central pressure of 940 hPa(27.76 inHg)."
13,"Idai then began to weaken as it approached the coast of Mozambique, due to less favourable conditions, weakening below intense tropical cyclone status later that day."
14,"On 15 March, Idai made landfall near Beira, Mozambique, subsequently weakening into a remnant low on 16 March."
15,"Idai's remnants slowly continued inland for another day, before reversing course and turning eastward on 17 March."
16,"On 19 March, Idai's remnants re-emerged into the Mozambique Channel and eventually dissipated on 21 March."
17,"Idai brought strong winds and caused severe flooding in Madagascar, Mozambique, Malawi, and Zimbabwe, which killed at least 1,593 people – and affected more than 3 million others."
18,Catastrophic damage occurred in and around Beira in central Mozambique.
19,"The President of Mozambique stated that more than 1,000 people may have died in the storm."
20,"A major humanitarian crisis unfolded in the wake of the cyclone, with hundreds of thousands of people in urgent need of assistance across Mozambique and Zimbabwe."
21,"In the former nation, rescuers were forced to let some people die in order to save others."
22,"A cholera outbreak ensued in the storm's wake, with more than 4,000 confirmed cases and seven fatalities by 10 April."
23,"Total damages from Idai across Mozambique, Zimbabwe, Madagascar, and Malawi were estimated to be around $3.3 billion(2019 USD), with US$1 billion in infrastructure damages, making Idai the second costliest tropical cyclone in the South-West Indian Ocean basin."
24,"-Meteorological history-
Cyclone Idai originated from an elongated circulation that the Météo-France office in Réunion(MFR) began monitoring on 1 March."
25,"At that time, it was in the Mozambique Channel and was moving west-southwest, towards Africa's east coast."
26,The MFR continued to track the system over the next couple of days as it developed strong deep convection.
27,"On 4 March, the MFR stated that Tropical Depression 11 had formed off the east coast of Mozambique."
28,"The depression slowly moved westward, making landfall in Mozambique later in the day."
29,The system retained its status as a tropical depression through its existence over land.
30,"Shortly after landfall, the system turned to the north."
31,"Over the next several days, Tropical Depression 11 performed a counterclockwise loop near the border of Malawi and Mozambique, before turning eastward and re-emerging into the Mozambique Channel, early on 9 March."
32,"On 8 March, at 22:00 UTC, the Joint Typhoon Warning Center(JTWC) issued a Tropical Cyclone Formation Alert(TCFA), noting a consolidating low-level circulation center and that the system was in a favourable environment with low wind shear and sea surface temperatures exceeding 30 °C(86 °F)."
33,"On 9 March, after Tropical Depression 11 had re-entered the Mozambique Channel, the JTWC issued its first warning on the system, classifying it as Tropical Cyclone 18S. At 00:00 UTC on 10 March, the MFR upgraded the system to a moderate tropical storm and designated it as Idai, after an increase in organised convection and the development of banding features."
34,"Idai then began a period of rapid intensification, with the MFR upgrading it to tropical cyclone status by 18:00 UTC."
