index,0,1
0,Intense Tropical Cyclone Idai approaching Mozambique shortly after its peak intensity on 14 March,Intense Tropical Cyclone Idai approaching Mozambique shortly after its peak intensity on 14 March
1,Meteorological history,Meteorological history
2,Formed,4 March 2019
3,Remnant low,16 March 2019
4,Dissipated,21 March 2019
5,Intense tropical cyclone,Intense tropical cyclone
6,10-minute sustained (MFR),10-minute sustained (MFR)
7,Highest winds,195 km/h (120 mph)
8,Highest gusts,280 km/h (175 mph)
9,Lowest pressure,940 hPa (mbar); 27.76 inHg
10,Category 4-equivalent tropical cyclone,Category 4-equivalent tropical cyclone
11,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
12,Highest winds,215 km/h (130 mph)
13,Lowest pressure,947 hPa (mbar); 27.96 inHg
14,Overall effects,Overall effects
15,Fatalities,"1,593 total[nb 1][nb 2] (Deadliest tropical cyclone in the South-West Indian Ocean, second-deadliest tropical cyclone recorded in the Southern Hemisphere)"
16,Missing,"≥2,262"
17,Damage,$3.3 billion (2019 USD) (Second costliest tropical cyclone in the South-West Indian Ocean)
18,Areas affected,northern and central Mozambique Malawi northern Madagascar Zimbabwe
19,IBTrACS,IBTrACS
20,Part of the 2018–19 South-West Indian Ocean cyclone season,Part of the 2018–19 South-West Indian Ocean cyclone season
