,Costliest South-West Indian Ocean tropical cyclones,Costliest South-West Indian Ocean tropical cyclones,Costliest South-West Indian Ocean tropical cyclones,Costliest South-West Indian Ocean tropical cyclones
,Rank,Tropical cyclones,Season,Damage
0,1,4 Chido,2024–25,$3.9 billion
1,2,4 Idai,2018–19,$3.3 billion
2,3,SD Issa,2021–22,$1.57 billion
3,4,5 Freddy,2022–23,$1.53 billion
4,5,3 Garance,2024–25,$940 million
5,6,4 Enawo,2016–17,$400 million
6,7,4 Kenneth,2018–19,$345 million
7,8,4 Leon–Eline,1999–00,$309 million
8,9,4 Dina,2001–02,$287 million
9,10,2 Belal,2023–24,$275 million
