index,0,1
0,"Tropical Cyclone Imogen over the Gulf of Carpentaria, a few hours before landfall, on 3 January","Tropical Cyclone Imogen over the Gulf of Carpentaria, a few hours before landfall, on 3 January"
1,Meteorological history,Meteorological history
2,Formed,1 January 2021
3,Dissipated,6 January 2021
4,Category 2 tropical cyclone,Category 2 tropical cyclone
5,10-minute sustained (BOM),10-minute sustained (BOM)
6,Highest winds,95 km/h (60 mph)
7,Highest gusts,130 km/h (80 mph)
8,Lowest pressure,985 hPa (mbar); 29.09 inHg
9,Tropical storm,Tropical storm
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,85 km/h (50 mph)
12,Lowest pressure,995 hPa (mbar); 29.38 inHg
13,Overall effects,Overall effects
14,Fatalities,None reported
15,Damage,>$10 million (2021 USD)
16,Areas affected,"Northern Territory, Far North Queensland"
17,IBTrACS,IBTrACS
18,Part of the 2020–21 Australian region cyclone season,Part of the 2020–21 Australian region cyclone season
