,sentences
0,"Severe Tropical Cyclone Ita was the strongest tropical cyclone in the Australian region by central pressure since George in 2007, and by wind speed since Monica in 2006."
1,"The system was first identified over the Solomon Islands as a tropical low on 1 April 2014, and gradually moved westward, eventually reaching cyclone intensity on 5 April."
2,"On 10 April, Ita intensified rapidly into a powerful Category 5 system on the Australian Scale, but it weakened to a Category 4 system in the hours immediately preceding landfall the following day."
3,"At the time of landfall at Cape Flattery at 12 April 22:00(UTC+10), the cyclone's Dvorak intensity was approximately T5.0, consistent with a weak Category 4 system, and considerably lower than the T6.5 observed when the system was at its peak intensity."
4,"Meteorologists noted the system had, at that time, begun an eyewall replacement cycle; as a result, the system was considerably less powerful than various intensity scales  had predicted."
5,"As a result, Ita's impact on terrain was lessened."
6,"Owing to the rapid degradation of the cyclone before landfall, structural damage was relatively low at A$8.4 million(US$7.9 million)."
7,"However, the agricultural industry suffered extensive impacts and total losses reached A$1.1 billion(US$1 billion)."
8,"-Meteorological history-
On 1 April 2014, a broad, poorly-defined area of low pressure consolidated over the Solomon Islands."
9,"Initially only accompanied by flaring convection, the system persisted in a region of low wind shear and strong outflow which promoted gradual development."
10,"Upon formation, the Bureau of Meteorology(BoM) office in Brisbane monitored the system as a tropical low."
11,Banding features gradually developed and wrapped around the circulation and deep convection became persistent by 2 April.
12,"A large central dense overcast developed over the low early on 3 April, prompting the Joint Typhoon Warning Center(JTWC) to issue a Tropical Cyclone Formation Alert."
13,"After moving away from Papua New Guinea, Ita underwent explosive intensification and attained its peak intensity as a Category 5 severe tropical cyclone early on 11 April."
14,Winds were estimated to have reached 220 km/h(140 mph) alongside a minimum central pressure of 922 mbar(hPa; 27.23 inHg).
15,"Turning to the south-southeast, the storm weakened somewhat before making landfall near Cape Flattery as a Category 4 later on 11 April."
16,"An automated weather station on Lizard Island, roughly 5 km(3.1 mi) from the storm's centre, recorded a pressure of 954 mbar(hPa; 28.17 inHg)."
17,Once onshore Ita weakened dramatically to a Category 1 within 18 hours.
18,"Maintaining gale-force winds the storm turned southwest and accelerated, eventually moving offshore north of Mackay on 13 April."
19,The following day Ita transitioned into an extratropical cyclone as it moved away from Australia and towards New Zealand.
20,Ita's extratropical remnants combined with a low pressure system to the south and re-intensified.
21,"On 17 April, the low-level circulation center of the storm collapsed, as Ita affected New Zealand, bringing heavy rainfall and powerful winds."
22,"On 18 April, Ita's remnants curved to the west and the south, before dissipating offshore of New Zealand later on the same day."
23,"-Preparations and impact-
--Solomon Islands--
As the precursor tropical low to Cyclone Ita affected the Solomon Islands, local authorities issued heavy flood warnings, tropical disturbance and cyclone watches."
24,Nearly two days of continuous heavy rains from the storm caused flash flooding in the Solomon Islands.
25,"Over a four-day span, more than 1,000 mm(39 in) fell at the Gold Ridge mine in Guadalcanal, with 500 mm(20 in) falling in a 24‑hour span."
26,"The Matanikau River, which runs through the capital city Honiara, broke its banks on 3 April and devastated nearby communities."
27,"Thousands of homes along with the city's two main bridges were washed away, stranding numerous residents."
28,The national hospital had to evacuate 500 patients to other facilities due to flooding.
29,"Graham Kenna from Save the Children stated that, ""the scale of destruction is like something never seen before in the Solomon Islands."""
30,"According to Permanent Secretary Melchoir Mataki, the majority of homes destroyed in Honiara were built on a flood plain where construction was not allowed."
31,Severe flooding took place on Guadalcanal.
32,"Throughout the Solomon Islands, 22 people were killed while an estimated 50,000 people were affected by the floods."
33,"Approximately 9,000 were left homeless."
34,"Total economic losses from the disaster were tremendous, amounting to SI$787.3 million(US$107.8 million) or roughly 9.2 percent of the country's gross domestic product."
35,"--Papua New Guinea--
Ahead of Ita affecting Papua New Guinea, the National Weather Service issued tropical cyclone warnings for all island and coastal communities in Milne Bay Province."
36,"The NWS also urged people in the East and West New Britain provinces, New Ireland and Bougainville, the southeast sector of the Solomon Sea and North Coral Sea areas to take precautions."
37,All schools and businesses were closed for several days in Milne Bay while residents were urged to remain indoors.
38,The storm brought unusually heavy rains and strong winds to Milne Bay Province and the National Capital District.
39,"The hardest hit areas were the islands of Rossell, Misima, Samarai, Woodlark, Sau, and Vanatinai."
40,Unconfirmed reports of casualties were received from these areas.
41,"On Ware Island, 54 homes and 1 classroom were destroyed."
42,"Along the mainland, Alotau experienced strong winds that downed trees and power lines, leaving many without power, and flooding that destroyed homes."
43,"Throughout Milne Bay, an estimated 62,000 people were affected by the storm."
44,Some flooding was reported in Port Moresby.
45,"Further north in Jiwaka Province, the a bridge along the Highlands Highway crossing the Tuman River was washed away."
46,"Officials in Milne Bay Province stated that 1,159 homes were destroyed by the storm; however, local authorities claimed thousands more collapsed."
47,"--Australia--
Ahead of the cyclone affecting Cape York, the Bureau of Meteorology issued a cyclone watch on 9 April, for the far northern Queensland coast between Cape Grenville and Port Douglas."
48,The Bureau predicted it to reach category five and would be the most severe storm to affect Queensland since Cyclone Yasi in 2011.
49,"On 10 April, Cyclone Ita was upgraded to category five, with a cyclone warning issued for the far northern Queensland coast between Lockhart River and Cairns."
50,"In anticipation of the Cyclone, tourists and staff were evacuated from a holiday resort on Lizard Island on 10 April."
51,"As Ita neared landfall, all residents in Cooktown and Hopevale were advised to evacuate either to a community cyclone shelter or to leave the towns."
52,"Though a weakened storm at landfall, Ita brought damaging winds to coastal areas around Cape Flattery where gusts peaked at 160 km/h(99 mph)."
53,An automated weather station on Lizard Island recorded gusts up to 155 km/h(96 mph) before the anemometer failed.
54,"Cooktown, the closest populated area to where the storm moved ashore, experienced winds up to 125 km/h(78 mph)."
55,"Gale-force winds affected areas as far south as the Northumberland Islands, with Mackay recording gusts up to 94 km/h(58 mph)."
56,"A minor storm surge accompanied the cyclone; however, it coincided with low-tide and had limited effects."
57,"Minor flora damage was reported at Mackay, in the heart of city the top of a palm tree was blown off by the high winds."
58,In Shoal Point minor damage was reported with some branches fell with one damaging a fence.
59,"The greatest impact from Ita resulted from heavy rains, with many areas receiving up to 300 mm(12 in) in 24 hours."
60,"Cardwell reported an April record 307.0 mm(12.09 in) of rain in 24 hours, while in Tully 312.0 mm(12.28 in) of rain fell over two days, causing moderate flooding in both towns."
61,"In Bowen, 110 mm(4.3 in) fell in one-hour, triggering a flash flood through the towns main street."
62,Cooktown received 197.8 mm(7.79 in) of rain over a three-day span.
63,"The Daintree, Mulgrave, Haughton, and Herbert rivers all experienced major flooding."
64,Townsville reported 214.2 mm(8.43 in) of rain and wind gusts of up to 93 km/h(58 mph) causing only minor damage.
65,"The outer bands of the Ita caused heavy rain and storms as far south as the Wide Bay–Burnett region as it tracked back out to sea again, Kingaroy recorded 50.4 mm(1.98 in) in less than an hour from a severe thunderstorm, while The Town of 1770 received 81.6 mm(3.21 in)."
66,"Cooktown experienced the greatest structural damage from winds, with 200 homes affected, of which 16 were severely damaged or destroyed."
67,"Many buildings, including a 140‑year‑old hotel in the town centre, lost their roof."
68,"Power was cut to the whole town and many trees were uprooted and destroyed; however, no injuries were reported as the majority of the towns residents were safe in the towns community cyclone shelter."
69,"Heavy rain caused moderate flooding throughout most of North Queensland, five people were rescued from floodwaters between Cooktown and Cairns and flooding in the Daintree River threatened several properties in Mossman, while further south a few low-lying houses were inundated in Ingham."
70,"Several houses were also flooded from a minor storm surge in Cairns, however damage was limited."
71,Total economic damage from Cyclone Ita amounted to A$1.1 billion(US$1 billion).
