index,0,1
0,Cyclone Ita at peak intensity nearing landfall in Queensland on 11 April,Cyclone Ita at peak intensity nearing landfall in Queensland on 11 April
1,Meteorological history,Meteorological history
2,Formed,1 April 2014
3,Extratropical,14 April 2014
4,Dissipated,18 April 2014
5,Category 5 severe tropical cyclone,Category 5 severe tropical cyclone
6,10-minute sustained (BOM),10-minute sustained (BOM)
7,Highest winds,220 km/h (140 mph)
8,Highest gusts,315 km/h (195 mph)
9,Lowest pressure,922 hPa (mbar); 27.23 inHg
10,Category 5-equivalent tropical cyclone,Category 5-equivalent tropical cyclone
11,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
12,Highest winds,260 km/h (160 mph)
13,Lowest pressure,918 hPa (mbar); 27.11 inHg
14,Overall effects,Overall effects
15,Fatalities,40 total[nb 1]
16,Damage,$1.15 billion
17,Areas affected,"Solomon Islands, Papua New Guinea, Queensland, New Zealand"
18,IBTrACS,IBTrACS
19,Part of the 2013–14 Australian region cyclone season,Part of the 2013–14 Australian region cyclone season
