,Costliest Australian region tropical cyclones,Costliest Australian region tropical cyclones,Costliest Australian region tropical cyclones,Costliest Australian region tropical cyclones
,Rank,Tropical cyclones,Season,Damage
0,1,4 Yasi,2010–11,$3.6 billion
1,2,4 Debbie,2016–17,$2.73 billion
2,3,TS Oswald,2012–13,$2.52 billion
3,4,4 Veronica,2018–19,$1.2 billion
4,5,5 Ita,2013–14,$1.15 billion
5,6,4 Larry,2005–06,$1.1 billion
6,7,4 Alfred,2024–25,$820 million
7,8,4 Zelia,2024–25,$733 million
8,9,4 Jasper,2023–24,$670 million
9,10,3 Tracy,1974–75,$645 million
