,0,1
0,John near its peak intensity on 14 December,John near its peak intensity on 14 December
1,Meteorological history,Meteorological history
2,Formed,9 December 1999
3,Dissipated,16 December 1999
4,Category 5 severe tropical cyclone,Category 5 severe tropical cyclone
5,10-minute sustained (Aus),10-minute sustained (Aus)
6,Highest winds,205 km/h (125 mph)
7,Lowest pressure,915 hPa (mbar); 27.02 inHg
8,Category 4-equivalent tropical cyclone,Category 4-equivalent tropical cyclone
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,240 km/h (150 mph)
11,Overall effects,Overall effects
12,Fatalities,
13,Damage,Unknown
14,Areas affected,Western Australia
15,IBTrACS,IBTrACS
16,Part of the 1999–00 Australian region cyclone season,Part of the 1999–00 Australian region cyclone season
