,sentences
0,Severe Tropical Cyclone Niran was a very powerful tropical cyclone that brought severe impacts to extreme Northeastern Australia and nearly made landfall in New Caledonia in February and March 2021.
1,"The sixth tropical cyclone and the second severe tropical cyclone of the 2020–21 Australian region cyclone season, while being the third severe tropical cyclone of the annual South Pacific cyclone season, Niran was the second Category 5 severe tropical cyclone in the South Pacific cyclone season, following Cyclone Yasa."
2,The cyclone formed from a tropical low in the Coral Sea on 27 February.
3,"The tropical low gradually intensified while stalling offshore of Queensland for several days, although disorganized at the time."
4,"Early on 3 March, Niran pulled away from the coast of Australia, while it started undergoing rapid intensification."
5,"Eventually, Niran reached its peak intensity as a Category 5 tropical cyclone on both the Australian Tropical Cyclone Scale and the Saffir–Simpson scale, on 5 March, well offshore of Australia."
6,"Soon afterward, Niran initiated an eyewall replacement cycle and encountered some wind shear, causing the storm to weaken on 6 March, as it passed just to the south of Grande Terre, the main island of New Caledonia."
7,"Afterwards, Niran continued rapidly weakening as wind shear increased further, before transitioning into an extratropical cyclone late on 6 March."
8,Niran was absorbed into another extratropical storm two days later.
9,"Before its strengthening phase, Niran significantly affected the banana crop in far-north Queensland."
10,"Several farms abroad were damaged, and some farmers lost 100% of their banana crop."
11,Prices for the fruit were expected to rise.
12,Estimates placed damage to the crop was A$200 million(US$154 million).
13,Other infrastructure damage was minor.
14,"In New Caledonia, many houses had their roofs and infrastructure damaged, and nearly 70,000 people lost power in total."
15,Multiple roads became impassable.
16,"Two people in New Caledonia were injured, though no one was killed."
17,Total economic losses reached $250 million(2021 USD).
18,"-Meteorological history-
During 27 February, the Bureau of Meteorology(BOM) began to monitor a developing tropical low off the coast of northern Queensland."
19,"The low began to strengthen while remaining offshore of the state, within an area favorable for tropical cyclogenesis."
20,"On 1 March, the tropical low was upgraded into a tropical cyclone by the BOM, and was given the name Niran."
21,"Later that same day, the strengthening cyclone reached Category 2 tropical cyclone status on the Australian scale."
22,"Niran began to pull away from the coast of Australia and underwent rapid intensification, reaching Category 3 severe tropical cyclone status on the Australian scale late on 3 March, and then reaching Category 4 severe tropical cyclone status on the Australian scale late on 4 March."
23,"Eventually, Niran intensified into a powerful Category 5 tropical cyclone on both the Australian region and the Saffir–Simpson hurricane wind scale(SSHWS), at 12:00 UTC on 5 March, displaying a well-defined pinhole eye."
24,"Shortly afterward, the storm crossed into the Fiji Meteorological Service(FMS)'s area of responsibility, even as it accelerated southeastward towards New Caledonia."
25,"Around that time, Niran reached its peak intensity, attaining maximum 10-minute sustained winds of 205 km/h(125 mph), maximum 1-minute sustained winds of 260 km/h(160 mph), and a central minimum pressure of 931 millibars(27.5 inHg)."
26,"However, several hours later, Niran began an eyewall replacement cycle and encountered wind shear, causing the storm to begin yet another significant weakening trend, with the storm falling down back to Category 4 status on the SSHWS."
27,"At 12:00 UTC on 6 March, Niran made its closest approach to New Caledonia's main island of Grande Terre, as a Category 3-equivalent tropical cyclone, as the eye of the storm passed just south of the island's southeastern flank."
28,"As wind shear continued to substantially increase over the storm, it weakened to a Category 3 severe tropical cyclone on the Australian scale and a Category 2 tropical cyclone on the SSHWS, later that day, as it began undergoing extratropical transition."
29,"Late that day, Niran had completed its extratropical transition as it continued accelerating towards the southeast."
30,"Niran continued moving southeastward for another couple of days, before being absorbed into a larger extratropical cyclone to the south on 8 March."
31,"-Preparation and impacts-
--Australia--
---Queensland---
A warning was put in place for the coast of Northern Queensland; however, the warning was dropped as Niran moved eastward and away from the coast."
32,"A gale warning was issued on 2 March for coastal and island communities, Cape Flattery and Innisfail, though it was cancelled when Niran moved away."
33,"In the far-north region of the state, some banana crops were wiped out by Niran in its early phase."
34,Some farmers said they had lost nearly 100% of their banana crops.
35,"In total, over 42,000 people lost power from the storm, due to high winds."
36,"State emergency teams were sent to attend to downed poles and damaged homes, and they reported minor structural damage in the Cairns region."
37,"The Australian Banana Growers’ Council said on 2 March that it was too early to estimate damage, but stated it would be significant."
38,"In the Cassowary Coast Region, farmers were expected to be without income until September or October."
39,Two people were rescued from floodwaters.
40,Crop damage related to Niran was A$200 million(US$154 million).
41,"There were fears that the prices for bananas would increase drastically again, as had occurred after Cyclone Larry in 2006 and Cyclone Yasi in 2011."
