index,0,1
0,Niran approaching New Caledonia at peak intensity on 5 March,Niran approaching New Caledonia at peak intensity on 5 March
1,Meteorological history,Meteorological history
2,Formed,27 February 2021
3,Extratropical,6 March 2021
4,Dissipated,8 March 2021
5,Category 5 severe tropical cyclone,Category 5 severe tropical cyclone
6,10-minute sustained (BOM),10-minute sustained (BOM)
7,Highest winds,205 km/h (125 mph)
8,Highest gusts,285 km/h (180 mph)
9,Lowest pressure,931 hPa (mbar); 27.49 inHg
10,Category 5-equivalent tropical cyclone,Category 5-equivalent tropical cyclone
11,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
12,Highest winds,260 km/h (160 mph)
13,Lowest pressure,917 hPa (mbar); 27.08 inHg
14,Overall effects,Overall effects
15,Fatalities,
16,Damage,$250 million (2021 USD)
17,Areas affected,"Queensland, New Caledonia, Vanuatu"
18,IBTrACS,IBTrACS
19,Part of the 2020–21 Australian region and South Pacific cyclone seasons,Part of the 2020–21 Australian region and South Pacific cyclone seasons
