index,0,1
0,Cyclone Ockhi near peak intensity west of Lakshadweep on December 2,Cyclone Ockhi near peak intensity west of Lakshadweep on December 2
1,Meteorological history,Meteorological history
2,Formed,"November 29, 2017"
3,Extratropical,"December 4, 2017"
4,Dissipated,"December 6, 2017"
5,Very severe cyclonic storm,Very severe cyclonic storm
6,3-minute sustained (IMD),3-minute sustained (IMD)
7,Highest winds,155 km/h (100 mph)
8,Lowest pressure,976 hPa (mbar); 28.82 inHg
9,Category 3-equivalent tropical cyclone,Category 3-equivalent tropical cyclone
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,185 km/h (115 mph)
12,Lowest pressure,948 hPa (mbar); 27.99 inHg
13,Overall effects,Overall effects
14,Fatalities,318
15,Missing,141
16,Damage,$920 million (2017 USD)
17,Areas affected,"Southern India, Sri Lanka and Maldives"
18,IBTrACS,IBTrACS
19,Part of the 2017 North Indian Ocean cyclone season,Part of the 2017 North Indian Ocean cyclone season
