index,sentences
0,Severe Tropical Cyclone Orson was the fourth most intense cyclone ever recorded in the Australian region.
1,"Forming out of a tropical low on 17 April 1989, Orson gradually intensified as it tracked towards the west."
2,"After attaining Category 5 intensity on 20 April, the storm began to track southward and accelerated."
3,"The following day, the cyclone reached its peak intensity with winds of 250 km/h(160 mph)(10-minute sustained) and a barometric pressure of 904 hPa(mbar)."
4,Orson maintained this intensity for nearly two days before making landfall near Dampier.
5,The cyclone rapidly weakened after landfall as it accelerated to the southeast.
6,"After moving into the Great Australian Bight on 24 April, the storm dissipated."
7,"Despite Orson's extreme intensity, damage was relatively minimal as it struck a sparsely populated region of Western Australia."
8,Five people were killed offshore and damages amounted to A$20 million(US$16.8 million).
9,"The storm damaged a new gas platform, delaying the project for nearly two weeks."
10,"The most severe impacts took place in Pannawonica, where 70 homes were damaged."
11,"Following the storm, cleanup costs reached A$5 million(US$4.1 million)."
12,"Due to the severity of the storm, the name Orson was retired after the season."
13,"-Meteorological history-
Cyclone Orson originated out of a tropical low, monitored by the Australian Bureau of Meteorology, that formed northwest of Darwin, Northern Territory on 17 April 1989."
14,"The system tracked southwest throughout the day before turning due west and strengthening into a tropical cyclone, at which time it received the name Orson."
15,"At this time, the Joint Typhoon Warning Center(JTWC) also began monitoring the storm as Tropical Storm 28S. The forward motion of the storm gradually slowed as it intensified and on 19 April, Orson attained Category 3 status on the Australian tropical cyclone intensity scale, classifying Orson as a severe tropical cyclone."
16,"Later that day, as the storm attained Category 4 status, an eye developed."
17,"By this time, Orson began to turn towards the southwest and on 20 April, the storm intensified into a Category 5 cyclone with winds of 210 km/h(130 mph)(10-minute sustained)."
18,The JTWC also reported significant strengthening during the same period.
19,They assessed Orson to have attained an intensity equivalent to a Category 5 hurricane on the Saffir–Simpson hurricane scale on 22 April with winds of 260 km/h(160 mph) 1-minute sustained).
20,"Around this time, the storm tracked directly over the North Rankin gas platform."
21,The platform was in the 40 km(25 mi) wide eye of Orson for roughly 40 minutes.
22,A weather station there recorded a barometric pressure of 904 hPa(mbar; 26.69 inHg) and wind gusts of 250 km/h(160 mph) before the station was damaged.
23,"This was, at the time, the lowest pressure ever recorded in the Australian region since records began."
24,It was later surpassed by Severe Tropical Cyclone Gwenda in 1999 when that storm attained a pressure of 900 hPa(mbar).
25,"By this time, Cyclone Orson was roughly 555 km(345 mi) in diameter."
26,"Continuing on a southerly track, accelerating ahead of an approaching cold front, Cyclone Orson made landfall, near Dampier, around 4:45 am AWST on 23 April(2045 UTC 22 April)."
27,with winds of 220 km/h(140 mph)(10-minute sustained).
28,"The JTWC also reported that Orson had weakened, with winds at landfall estimated at 230 km/h(140 mph) 1-minute sustained)."
29,"Tracking at 28 km/h(17 mph), the weakening storm passed over Pannawonica."
30,"Less than 12 hours after landfall, the storm weakened below Category 3 status."
31,"By this time, the JTWC was no longer monitoring the system."
32,"Around 5:00 am AWST on 24 April(2100 UTC 23 April), Orson weakened to a tropical low while situated over southern Western Australia."
33,"Continuing to accelerate to nearly 50 km/h(31 mph), the remnants of the storm moved over the Great Australian Bight late on 24 April."
34,"Several hours after moving back over water, the storm dissipated."
35,"The Australian Bureau of Meteorology uses 10-minute sustained winds, while the Joint Typhoon Warning Center uses one-minute sustained winds."
36,The conversion factor between the two is 1.14.
37,"The Bureau of Meteorology's peak intensity for Orson was 250 km/h(160 mph) 10-minute sustained, or 290 km/h(180 mph) one-minute sustained."
38,"The JTWC's peak intensity for Orson was 260 km/h(160 mph) one-minute sustained, or 220 km/h(140 mph) 10-minute sustained."
39,"-Preparations and impact-
As Cyclone Orson approached the coast of Western Australia, residents were urged to prepare for the storm; people proceeded to clean up litter, secure outdoor items and make sure their disaster kits were stocked."
40,All 200 personnel from a A$1.5 billion gas platform off the coast were evacuated ahead of the storm.
41,"Since Cyclone Orson made landfall in a sparsely populated region, its effects were relatively light compared to its intensity."
42,More than 20 fishermen were reported missing during the storm.
43,"On 23 April, a rescue mission with three aircraft recovered roughly 20 fisherman, while one was still missing."
44,"Offshore, the storm killed four Indonesian fishermen after their ships sank in swells up to 20 m(66 ft) produced by the storm."
45,The North Rankin gas platform sustained minor damage despite wind gusts reaching 270 km/h(170 mph) and waves estimated at 21 m(69 ft).
46,"The large swells also delayed the find of a major oil field that contained more than 200 million barrels(32,000,000 m3) of oil."
47,The waves knocked a drill rig used to find oil out of position; it would take several days for the drill rig to be repositioned.
48,"After an assessment of damage, it was found that the drill rig snapped off and broke the chains of two anchors before drifting nearly 2 km(1.2 mi) from the platform."
49,The repositioning and cleanup of the drill rig delayed the project by nearly two weeks.
50,The damages from Cyclone Orson increased the total cost of the platform to roughly A$20 million(US$16.8 million).
51,"Upon making landfall, Orson produced a storm surge of 3.1 m(10 ft)."
52,"This came during low tide, having a height of 1.6 m(5.2 ft)."
53,"Severe erosion was recorded along coastal areas, some losing nearly 20 m(66 ft) of rocks."
54,Wind gusts in Dampier reached 183 km/h(114 mph) and a station near where Orson made landfall recorded a wind gust of 211 km/h(131 mph).
55,Harbour officials stated that several ships were knocked off their moorings and washed up onshore.
56,"In Karratha, the local weather radar sustained roughly A$900,000(US$760,000) in damages."
57,A nearby airport was also damaged.
58,The jetty at Point Samson was severely damaged and eventually removed.
59,"The most severe damage took place in the mining town of Pannawonica, where 70 homes were damaged by the storm."
60,Numerous trees and power lines were downed along the storm's path.
61,"Before dissipating, the storm left one additional person missing after contact was lost with his yacht."
62,Later reports confirmed that the missing person drowned during the storm.
63,"Twenty people were also injured during the storm, 60 were left homeless and about 1,000 were affected."
64,Total damages from the storm were estimated at A$20 million(US$16.8 million) and repair costs reached A$5 million(US$4.1 million).
65,"Due to the severity of the storm, the name Orson was retired after the season."
