index,sentences
0,Severe Tropical Cyclone Pam was the second most intense tropical cyclone of the South Pacific Ocean in terms of sustained winds and is regarded as one of the worst natural disasters in the history of Vanuatu.
1,A total of 15–16 people died either directly or indirectly as a result of Pam with many others injured.
2,"The storm's impacts were also felt, albeit to a lesser extent, on other islands in the South Pacific, most notably the Solomon Islands, Tuvalu, and New Zealand."
3,"Pam is the third most intense storm of the South Pacific Ocean according to pressure, after Winston of 2016 and Zoe of 2002."
4,"It is also the second most intense tropical cyclone in 2015, only behind Hurricane Patricia."
5,"In addition, Pam is tied with Orson, Monica, Marcus and Fantala for having the second strongest ten-minute maximum sustained winds in the Southern Hemisphere."
6,"Thousands of homes, schools and buildings were damaged or destroyed, with an estimated 3,300 people displaced as a result."
7,"Pam formed on 6 March, east of the Solomon Islands and tracked slowly in a generally southward direction, slowly intensifying as it did so."
8,"Two days later, the disturbance reached tropical cyclone intensity and, over subsequent days, Pam gradually strengthened before reaching Category 5 cyclone status on both the Australian and Saffir–Simpson scales on 12 March."
9,"The next day, Pam's sustained winds peaked at 250 km/h(155 mph) as the storm moved through Vanuatu, passing near several constituent islands and making direct hits on others."
10,"On 14 March, Pam's winds began to slowly weaken, but its pressure dropped further to a minimum of 896 mbar(hPa; 26.46 inHg) before rising shortly afterwards."
11,"Over the next few days, the cyclone's weakening accelerated as it moved poleward."
12,"On 15 March, Pam passed northeast of New Zealand before transitioning into an extratropical cyclone that same day."
13,"Early in Pam's history, a damaging storm surge impacted Tuvalu, prompting a state of emergency declaration after 45 percent of the nation's residents were displaced."
14,"Torrential rainfall occurred in the southeastern Solomon Islands, particularly in the Santa Cruz Islands."
15,"In Vanuatu, all emergency centres were activated and relief personnel were put on standby with Pam assessed as having the potential to be one of the nation's worst tropical cyclones."
16,"Catastrophic damage occurred as the storm moved through the archipelago, particularly in Efate, the location of the Ni-Vanuatu capital of Port Vila; and the Tafea islands of Erromango and Tanna."
17,"The cyclone crippled Vanuatu's infrastructure: an estimated 90 percent of the nation's buildings were impacted by the storm's effects, telecommunications were paralysed, and water shortages continue to plague the small nation."
18,Pam later brought heavy winds and rough surf to New Zealand's North Island during its weakening stages.
19,"-Meteorological history-
During the opening days of March 2015, a major westerly wind burst occurred, which subsequently contributed to the development of the  2014–16 El Niño event and the development of two tropical cyclones near Kiribati on either side of the equator."
20,"The first tropical cyclone became Tropical Storm Bavi and impacted the Marshall Islands, the Mariana Islands and Philippines."
21,"The second system was first noted as Tropical Disturbance 11F by the Fiji Meteorological Service(FMS) on 6 March, while it was located about 750 kilometres(465 mi) to the north-east of Honiara in the Solomon Islands."
22,The system was located underneath an upper-level ridge of high pressure and within an area favourable for further development with low-moderate vertical windshear.
23,"As a result, weather forecast models anticipated the development of a significant tropical cyclone over the coming days."
24,"Initially, the disturbance floundered east of the Solomon Islands and slowly strengthened, reaching tropical depression intensity on 8 March."
25,"The storm's appearance and areal coverage of showers remained stationary until the following day, when the formation of rainbands wrapping around the centre of the system prompted the FMS to upgrade the storm's classification to a category 1 tropical cyclone on the Australian tropical cyclone scale, assigning it the name Pam."
26,Atmospheric conditions at the time were slightly favourable for continued development as the storm continued to slowly track along the southern periphery of a high-pressure area to its north.
27,"Following the storm's name, Pam began to curve southwards around midday on 9 March."
28,Computer models continued to point towards the possibility of rapid intensification occurring as the cyclone approached Vanuatu.
29,Significant development in Pam's organisation took place throughout the remainder of the day into 10 March.
30,"The cyclone's circulation centre quickly tightened, with the central dense overcast atop it persisting in strength."
31,"At 18:00 UTC on 10 March, the FMS upgraded the system to category 3 strength, making it a severe tropical cyclone."
32,"Shortly after, microwave imagery revealed a primordial eye-feature developing within Pam."
33,This became apparent on visible light images on 11 March.
34,"That day, Pam became quasi-stationary east of the Santa Cruz Islands before resuming its prior southwesterly motion towards the end of 11 March."
35,"The storm's eye continued to warm as its cloud tops cooled such that at 12:00 UTC, the FMS assessed Pam to have reached Category 5 intensity on the Australian cyclone scale."
36,"Six hours later, the JTWC estimated that the storm reached Category 5-equivalent intensity on the Saffir–Simpson hurricane wind scale as Pam was east of Penama."
37,"Early on 13 March, the JTWC determined Pam reached its peak one-minute sustained winds of 270 km/h(170 mph) as it neared Vanuatu; this was increased to 280 km/h(175 mph) in post-season reanalysis."
38,"Several hours later, the cyclone began to curve towards the south-southeast, allowing Pam to pass just east of Efate."
39,"At that time, the FMS estimated Pam as having record-breaking 250 km/h(155 mph) ten-minute sustained winds."
40,The storm's winds gradually slowed afterwards as Pam tracked west of Tafea.
41,"However, the FMS indicated that the cyclone's pressure dropped further to a minimum of 896 mbar(hPa; 26.46 inHg) on 14 March, making Pam the second most intense tropical cyclone in the South Pacific basin after Cyclone Zoe in 2002."
42,"This intensity was short-lived, however, as Pam's central pressure began rising shortly thereafter as the storm accelerated southeastward."
43,"After 12:00 UTC that day, Pam left the area of responsibility of the FMS and entered the monitoring region of New Zealand's MetService, who estimated that Pam weakened to Category 4 intensity on 15 March after maintaining Category 5 intensity for 36 hours."
44,"Shortly after, the storm's eye faded away and Pam's low level circulation became displaced from its associated thunderstorms, signalling a rapid weakening phase."
45,"Later on 15 March, both agencies discontinued issuing advisories as Pam entered a phase of extratropical transition while affecting northeastern New Zealand."
46,"The system moved eastwards, and eventually dissipated over the waters of the South Pacific on 20 March."
47,"-Effects-
Severe Tropical Cyclone Pam was responsible for 24 deaths as it impacted various parts of the Pacific Ocean, before the name was retired from the South Pacific lists of tropical cyclone names."
48,"The system also influenced the Pacific trade winds and with Tropical Storm Bavi, caused one of the strongest trade wind reversals that had been observed on record."
49,"--Kiribati--
Bavi and Pam caused severe weather including swells, heavy rain and strong winds to be reported within Kiribati between 8–11 March."
50,"--Vanuatu--
After all the development we have done for the last couple of years and this big cyclone came and just destroyed... all the infrastructure the government has... built."
51,Completely destroyed.
52,"By 12 March, the National Disaster Management Office in Vanuatu activated all emergency operation centres in the country."
53,Officials reported difficulty in contacting outlying islands where there was poor infrastructure.
54,"In those areas, they advised residents to identify nearby shelters in case evacuation was necessary."
55,"Across the country, residents spent the day on 12 March stocking up on supplies for the storm."
56,"The International Federation of Red Cross and Red Crescent Societies stated volunteers were on standby for assessments in Fiji, the Solomon Islands, and Vanuatu once the storm passed."
