,0,1
0,Cyclone Raja on 28 December,Cyclone Raja on 28 December
1,Meteorological history,Meteorological history
2,Formed,21 December 1986
3,Extratropical,1 January 1987
4,Dissipated,5 January 1987
5,Category 3 severe tropical cyclone,Category 3 severe tropical cyclone
6,10-minute sustained (FMS),10-minute sustained (FMS)
7,Highest winds,150 km/h (90 mph)
8,Lowest pressure,955 hPa (mbar); 28.20 inHg
9,Category 2-equivalent tropical cyclone,Category 2-equivalent tropical cyclone
10,1-minute sustained (SSHWS/NPMOC),1-minute sustained (SSHWS/NPMOC)
11,Highest winds,165 km/h (105 mph)
12,Overall effects,Overall effects
13,Fatalities,2 confirmed
14,Damage,$14 million (1987 USD)
15,Areas affected,"Fiji, Tonga, Tuvalu, Wallis and Futuna"
16,IBTrACS,IBTrACS
17,Part of the 1986–87 South Pacific cyclone season,Part of the 1986–87 South Pacific cyclone season
