index,Precipitation,Precipitation,Precipitation,Storm,Location,Ref.
,Rank,mm,in,Storm,Location,Ref.
0,1,674.9,26.57,Raja 1986,"Maopoopo, Futuna Island",[11]
1,2,556.7,21.92,Fran 1992,"Hihifo, Wallis Island",[11]
2,3,291.2,11.46,Val 1975,"Hihifo, Wallis Island",[11]
3,4,220.6,8.69,Hina 1997,"Maopoopo, Futuna Island",[11]
4,5,186.0,7.32,Evan 2012,Futuna Island,[11]
5,6,180.0,7.09,Val 1980,"Maopoopo, Futuna Island",[11]
6,7,171.6,6.76,Keli 1997,"Hihifo, Wallis Island",[11]
7,8,160.8,6.33,Unnamed 1966,"Malaetoli, Wallis Island",[11]
8,9,160.0,6.3,Amos 2016,"Hihifo, Wallis Island",[12]
9,10,119.0,4.69,Waka 2001,"Hihifo, Wallis Island",[11]
