index,sentences
0,Tropical Cyclone Steve was a tropical cyclone that affected northern Australia from 27 February 2000 until 11 March 2000.
1,Cyclone Steve was noted for its longevity and traversal of northern and western Australia.
2,"It impacted on regions of northern Queensland, the Northern Territory and Western Australia before clearing to the south of the continent."
3,Steve is the first known Australian cyclone to make four distinct landfalls in the country.
4,"-Meteorological history-
A tropical low formed in the Coral Sea to the east of Willis Island on 25 February 2000."
5,The system rapidly intensified to become Tropical Cyclone Steve at around 7 am Australian Eastern Standard Time(AEST)(UTC+10) on 27 February 2000.
6,The cyclone crossed the Queensland coast as a Category 2 system on 27 February to the north of Cairns at around 7 pm AEST.
7,Steve weakened slowly over land and was downgraded to a tropical low on 28 February.
8,The low tracked westward and re-intensified to tropical cyclone strength over the Gulf of Carpentaria on the same day at around 10 pm AEST.
9,The cyclone passed over Mornington Island in the southern Gulf of Carpentaria and crossed the Northern Territory coast north of Port McArthur on 1 March as a Category 1.
10,"The cyclone weakened back to a tropical low again, but maintained a strong low to middle-level circulation as it crossed the base of the Top End of the Northern Territory."
11,The low moved just south of the Joseph Bonaparte Gulf into the Kimberley region of Western Australia and reformed once again into a tropical cyclone just west of Broome on 5 March at 1 pm Australian Western Standard Time(AWST)(UTC+8).
12,Cyclone Steve moved in a west southwest direction parallel to the Pilbara coast and strengthened further during the day and was upgraded to a Category 2 system early on 6 March.
13,The cyclone deepened to a pressure of 975 hPa during the day.
14,"Continuing on its path to the southwest, Steve passed north of Port Hedland and Karratha on 6 March, before crossing the Pilbara coast near Mardie around midnight on 6 March(Steve's third landfall)."
15,The system was again downgraded to Category 1 as it moved inland.
16,"At around midnight on 7 March, Steve again moved offshore about 175 kilometres(109 mi) north of Carnarvon and moved southwards along the coast."
17,"However, the system did not intensify further beyond Category 1 and made its final(fourth) landfall at around midnight on 9 March east of Denham."
18,"Steve then continued to track to the south-east and increased in speed across southern parts of Western Australia during the 10 and 11 March and becoming extra-tropical, before moving offshore for the final time to the east of Esperance late on 11 March and over the waters of the Great Australian Bight."
19,"-Impact-
--Queensland--
As Steve tracked inland on the north Queensland coast, it caused major flooding between Cairns and Mareeba."
20,A record flood level of 12.4 m(41 ft) was reached at Mareeba on 28 February 2000.
21,Many buildings in Cairns suffered severe water damage including the Cairns Hospital.
22,"Cairns recorded its wettest February on record with the suburb of Manunda measuring 1,462.7 mm(57.59 in) and Bartle Frere recording 3,376 mm(132.9 in)."
23,Wind gusts up to 140 km/h(87 mph) caused several buildings in Cairns and Kuranda to lose their roofs.
24,"Hundreds of trees were uprooted and powerlines were brought down throughout the district, disrupting supplies to more than 40,000 residents."
25,"In Cairns, a giant fig tree was uprooted with the entire root system out of the ground."
26,"Crop damage by floods and winds was severe, with the sugar cane damage alone estimated at A$20 million."
27,Early estimates indicate that the total damage bill in north Queensland associated with Cyclone Steve may exceed A$100 million.
28,"--Northern Territory--
Severe winds squalls and heavy rainfall was recorded across the Top End."
29,Several trees were uprooted in Gunbalanya(Oenpelli) which reported winds gusts in excess of 90 km/h(56 mph).
30,Gusts near 90 km/h(56 mph) in Darwin overnight on 2 March brought down trees.
31,"Widespread flooding resulted in the Katherine, Daly and Victoria River regions."
32,Water levels in the Katherine River came to within about 3 metres(9.8 feet) of those experienced in the 1998 floods but subsided without inundating the town.
33,"Rainfall across the Top End, Victoria River region over a four-day period between 29 February to 4 March was between 200 and 400 millimetres(7.9 and 15.7 inches)."
34,Similar totals were recorded over four days in the Kimberley region.
35,Numerous Northern Territory roads and highways were cut with many communities isolated.
36,"--Western Australia--
Near gale-force winds were experienced at Port Hedland for a period of about 17 hours beginning at midnight AWST on 5 March."
37,The peak hourly average wind speed recorded was 72 km/h(45 mph) and the maximum gust recorded was 104 km/h(65 mph)(between 8 and 9 am AWST 6 March).
38,Winds averaged near 70 km/h(43 mph) at Karratha in the early evening 6 March and the maximum gust recorded was 98 km/h(61 mph) at 6 pm AWST.
39,"The very heavy rainfall associated with Steve produced widespread flooding in northern parts of the state, including the Gascoyne region."
40,Communities in the Kimberley region which remained isolated for more than two weeks required food and supply air-drops.
41,Low-lying areas of the Carnarvon townsite were flooded when the Gascoyne River breached its banks.
42,The Gascoyne River at Carnarvon reached its highest level since 1960.
43,Parts of the western Pilbara and northern Gascoyne received totals that ranged from 200 to 300 mm.
44,Several sites reported highest on record daily rainfall amounts including Mandora(281.0 mm on 6th) and Mount Narryer(152.0 mm on 10th).
45,Carnarvon(100.6 mm on 9th) reported its highest March daily rainfall since records commenced at the airport in 1945.
46,Rainfall ranging from 50 to 100 mm continued over inland parts extending in a south-easterly direction from the west Gascoyne to the south coast near Esperance.
47,Flooding occurred in the Esperance area and number of roads and bridges were washed away.
48,Salmon Gums Research Station recorded 91 mm of rain on 11 March.
49,"--Retirement--
The name Steve was removed from the official list of tropical cyclone names set out by the Tropical Cyclone Warning Centre in Brisbane."
50,It was replaced with the name Stan.
