,0,1
0,Steve after peak intensity on 7 March,Steve after peak intensity on 7 March
1,Meteorological history,Meteorological history
2,Formed,27 February 2000
3,Extratropical,11 March 2000
4,Dissipated,11 March 2000
5,Category 2 tropical cyclone,Category 2 tropical cyclone
6,10-minute sustained (Aus),10-minute sustained (Aus)
7,Highest winds,110 km/h (70 mph)
8,Lowest pressure,975 hPa (mbar); 28.79 inHg
9,Category 1-equivalent tropical cyclone,Category 1-equivalent tropical cyclone
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,120 km/h (75 mph)
12,Overall effects,Overall effects
13,Fatalities,
14,Damage,>A$100 million?
15,Areas affected,"Queensland, Northern Territory, Western Australia"
16,Part of the 1999–00 Australian region cyclone season,Part of the 1999–00 Australian region cyclone season
