index,0,1
0,Cyclone Trina near peak intensity on November 30,Cyclone Trina near peak intensity on November 30
1,Meteorological history,Meteorological history
2,Formed,"November 29, 2001"
3,Dissipated,"December 3, 2001"
4,Category 1 tropical cyclone,Category 1 tropical cyclone
5,10-minute sustained (FMS),10-minute sustained (FMS)
6,Highest winds,65 km/h (40 mph)
7,Highest gusts,100 km/h (65 mph)
8,Lowest pressure,995 hPa (mbar); 29.38 inHg
9,Tropical storm,Tropical storm
10,1-minute sustained (SSHWS),1-minute sustained (SSHWS)
11,Highest winds,65 km/h (40 mph)
12,Overall effects,Overall effects
13,Fatalities,None reported
14,Damage,"$52,000 (2001 USD)"
15,Areas affected,Rarotonga and Mangaia
16,IBTrACS,IBTrACS
17,Part of the 2001–02 South Pacific cyclone season,Part of the 2001–02 South Pacific cyclone season
