index,sentences
0,Very Severe Cyclonic Storm Vayu() was a strong tropical cyclone that caused moderate damage in India during June 2019.
1,It was the strongest tropical cyclone to affect the Saurashtra Peninsula of northwestern India since the 1998 Gujarat cyclone.
2,"Vayu was the third tropical depression, third cyclonic storm and second very severe cyclonic storm of the 2019 North Indian Ocean cyclone season, and the first of which to form in the Arabian Sea."
3,"Vayu originated from a low-pressure area that was first noted by the India Meteorological Department(IMD) on 9 June, near the northern Maldives."
4,"After consolidating into a depression, the storm tracked slowly north-northwestward over the eastern Arabian Sea, and reached cyclonic storm intensity late on 10 June."
5,"Steady strengthening continued into 11 June, and the storm underwent rapid intensification late in the day."
6,"Vayu reached peak intensity as a high-end very severe cyclonic storm at 06:00 UTC on 12 June, with three-minute sustained winds of 150 km/h(95 mph) and a minimum pressure of 970 hPa(28.64 inHg)."
7,"Despite initially being forecast to make landfall in the state of Gujarat, Vayu turned abruptly to the west on 13 June and moved away from the coast."
8,"The system weakened gradually as it tracked slowly towards the Arabian Peninsula, then weakened more quickly after beginning to accelerate back towards India on 16 June."
9,"Vayu was downgraded to a deep depression the following morning, and further to a depression a few hours later."
10,"The system degenerated into a well-marked low-pressure area late on 17 June, just before crossing the Gujarat coast."
11,"Vayu's remnants continued inland for several more hours, before dissipating on 18 June."
12,"In total, as many as 6.6 million people in northwestern India were impacted by the cyclone."
13,"Approximately 300,000 residents of coastal Gujarat were evacuated on 12 June in preparation for the system's arrival, and thousands of personnel were deployed to the region to assist with preparations, rescue operations and clean up efforts."
14,"As of 18 June, eight people are reported to have been killed either directly or indirectly by the cyclone, and at least 12 more injured."
15,"The name Vayu was provided by India, and is derived from a Sanskrit and Hindi word meaning 'wind'."
16,"-Meteorological history-
In early June, a strong pulse of the Madden–Julian oscillation(MJO) tracked eastwards into the tropical Indian Ocean, leading to increased cloudiness and rainfall across the region."
17,"The presence of the pulse also contributed to enhanced convective activity, and generated conditions which were supportive of tropical cyclogenesis."
18,"On 9 June, the India Meteorological Department(IMD) noted the development of a low-pressure area over the southeastern Arabian Sea, to the north of the Maldives."
19,"Organisation increased throughout the day, and owing to the improved structure of the system, the United States' Joint Typhoon Warning Center(JTWC) issued a Tropical Cyclone Formation Alert at 22:30 UTC."
20,"At 00:00 UTC the following day, the IMD indicated that the low-pressure area had consolidated into a tropical depression, and assigned it the designation ARB 01."
21,"Conditions were favourable for further intensification, with improving upper-level divergence, and ample energy being provided by extremely warm sea surface temperatures of 31 °C(88 °F)."
22,Vertical wind shear also continued to decrease as the depression tracked steadily north-northwestwards parallel to the western coast of India under the influence of an anticyclone over central India.
23,"Deep convection strengthened around the low-level circulation centre, and the system was upgraded to a deep depression at 06:00 UTC."
24,"Six hours later, the JTWC assessed one-minute sustained winds as having reached 65 km/h(40 mph), and designated the system as Tropical Cyclone 02A. At 18:00 UTC on 10 June, the system strengthened into the third cyclonic storm of the season, and was named Vayu by the IMD."
25,Vayu continued to steadily strengthen after intensifying into a cyclonic storm.
26,"A formative eye began to develop on 11 June, as intense deep convection wrapped tightly around the system."
27,"Vayu became a severe cyclonic storm by 12:00 UTC, and reached Category 1 tropical cyclone status on the Saffir–Simpson hurricane wind scale(SSHWS)."
