index,0,1
0,"Vayu at peak intensity on 13 June, just off the coast of Gujarat's Saurashtra Peninsula","Vayu at peak intensity on 13 June, just off the coast of Gujarat's Saurashtra Peninsula"
1,Meteorological history,Meteorological history
2,Formed,10 June 2019
3,Remnant low,17 June 2019
4,Dissipated,18 June 2019
5,Very severe cyclonic storm,Very severe cyclonic storm
6,3-minute sustained (IMD),3-minute sustained (IMD)
7,Highest winds,150 km/h (90 mph)
8,Lowest pressure,970 hPa (mbar); 28.64 inHg
9,Category 3-equivalent tropical cyclone,Category 3-equivalent tropical cyclone
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,185 km/h (115 mph)
12,Lowest pressure,948 hPa (mbar); 27.99 inHg
13,Overall effects,Overall effects
14,Fatalities,8 total
15,Damage,"$140,000 (2019 USD)"
16,Areas affected,"Maldives, India, Pakistan, Oman"
17,IBTrACS,IBTrACS
18,Part of the 2019 North Indian Ocean cyclone season,Part of the 2019 North Indian Ocean cyclone season
