,sentences
0,Severe Tropical Cyclone Yasa was the second Category 5 severe tropical cyclone in 2020 after Harold in the 2019–20 South Pacific cyclone season.
1,"Yasa was the second tropical disturbance, as well as the first tropical cyclone and severe tropical cyclone of the 2020–21 South Pacific cyclone season."
2,Yasa was first noted as an area of low pressure to the north of Port Vila in Vanuatu during December 10.
3,"Over the next few days, the system gradually developed further as it absorbed Tropical Depression 01F, before it was classified as a tropical cyclone and named Yasa by the Fiji Meteorological Service on December 13."
4,"The system gradually moved through the South Pacific Ocean, going through a small, slow loop whilst rapidly intensifying."
5,"In about a day, it became a Category 5 severe tropical cyclone on the Australian scale and a few hours later, a Category 5-equivalent cyclone on the Saffir-Simpson scale, with 1-minute sustained winds of 260 km/h(160 mph) and a minimum pressure of 917 hPa(27.1 inHg)."
6,"This made Yasa the earliest Category 5 tropical cyclone on both the Australian and Saffir-Simpson scales in the South Pacific basin since reliable records began, beating the old record by Zoe in 2002–03."
7,Yasa maintained its intensity and became more defined on satellite imagery as it bore down on Fiji.
8,An address was sent to the entire country from the nation's Prime Minister Frank Bainimarama regarding preparations for the storm.
9,"Shipping services were halted, and fishermen were advised to not go out into sea, due to fears of Yasa possibly injuring or killing them."
10,"Multiple warnings were issued, including heavy rain, heavy wind, and flood warnings."
11,"Soon, the entirety of Fiji was under warnings as Yasa neared."
12,A high wind warning was put in place for Vanuatu as the storm's wind field reached the country.
13,"Impacts began to be felt on mid-day December 16, as villages in the Malolo and Yasawa groups began to feel the winds and rain of Yasa."
14,The impacts felt from Yasa were large and wide.
15,"As of December 22, impacted areas are beginning to restore communication."
16,"Transportation was hampered as 72 roads in the country were closed due to fallen trees, power lines, and flooding."
17,Heavy rain was recorded in most of the country.
18,"Four deaths were confirmed, while one person remains missing."
19,"Damage in Fiji were calculated at FJ$500 million, or $245 million(2020 USD)."
20,Many affected people had their access to food and water cut off following Yasa's passage through Fiji.
21,"The International Federation of Red Cross and Red Crescent Societies provided funding and relief items to about 17,700 Fijians by December 18, and provided the Fijian Ministry of Health and Medical Services with supplies."
22,Australia pledged its assistance and sent HMAS Adelaide to help with recovery efforts.
23,"-Meteorological history-
The area of low pressure that would eventually become Severe Tropical Cyclone Yasa was first noted by the United States Joint Typhoon Warning Center(JTWC) during December 10, while it was located about 655 km(405 mi) to the north of Port Vila in Vanuatu."
24,"At this stage, the disturbance had a broad and fully exposed low level circulation, with little to no atmospheric convection surrounding the system."
25,"The system was also located within a marginally favourable environment for further development, with high levels of vertical wind shear, being offset by warm sea surface temperatures of around 29–30 °C(84–86 °F)."
26,"During that day, the system gradually organized further as it moved south-eastwards, before it was classified as Tropical Disturbance 02F by the Fiji Meteorological Service(FMS) during December 11."
27,"During that day, the system continued to develop and was classified as a tropical depression by the FMS, while Tropical Depression 01F/04P moved along its southern periphery."
28,The JTWC subsequently initiated advisories on the system and classified it as Tropical Cyclone 05P during December 12.
29,"Over the next day, the system continued to consolidate and absorbed Tropical Depression 01F, as it moved south-westwards along the northeastern edge of a subtropical ridge of high pressure."
30,"During December 13, the FMS classified the system as a Category 1 tropical cyclone on the Australian tropical cyclone intensity scale and named it Yasa, while it was located over open waters between Fiji and Vanuatu."
31,"After it had been named, Yasa made a small anti-cyclonic loop, while its overall organisation improved significantly, with a compact eye feature appearing on microwave imagery."
32,"As a result, the FMS reported that the system had intensified into a Category 2 tropical cyclone, while the JTWC reported that Yasa had become equivalent to a Category 1 hurricane on the Saffir–Simpson hurricane wind scale(SSHWS)."
33,"Yasa subsequently performed a second anti-cyclonic loop as the subtropical ridge weakened, while its primary steering mechanism started to change, which caused the system to move north-eastwards towards the Equator."
34,"During December 14, the FMS reported that Yasa had become a Category 3 severe tropical cyclone, before the system rapidly intensified into a Category 4 severe tropical cyclone later that day."
35,"During December 15, Yasa continued to rapidly intensify with its eye becoming well defined, before the FMS reported that the system had become the earliest Category 5 severe tropical cyclone on record."
36,The system subsequently turned south-eastwards as a subtropical ridge of high pressure built in from the cyclones southeast before a ridge of high pressure near the equator caused the system to start moving south-eastwards towards Fiji.
37,"The JTWC reported that Yasa had peaked with 1-minute sustained wind speeds of 260 km/h(160 mph), which made it equivalent to a Category 5 hurricane on the SSHWS during December 16."
38,"Later that day, the FMS reported that Yasa had peaked with maximum 10-minute sustained winds of 230 km/h(140 mph), as well as a minimum pressure of 917 hPa(27.08 inHg), although it was operationally assessed at 250 km/h(160 mph), and a minimum pressure of 899 hPa(26.55 inHg)."
39,"The system subsequently started to weaken with its cloud tops starting to warm before Yasa made landfall in Bua Province on Vanua Levu as a Category 5 severe tropical cyclone, at around 06:00 UTC(18:00 FJT) on December 17."
40,"After it had made landfall, Yasa's eye became cloud-filled and dissipated, as it completed an eyewall replacement cycle over Vanua Levu."
41,"The system subsequently moved into the Koro Sea, where it passed near or over several of the Lau Islands and started to interact with an upper-level trough of low pressure."
42,"This caused increased vertical wind shear over the system, which in turn caused Yasa to significantly weaken and become a Category 3 severe tropical cyclone during December 18."
43,"Over the next couple of days, the system gradually weakened further, as it brushed Tonga, before it was classified as a former tropical cyclone by the FMS during December 19 as it degenerated into an extratropical low."
44,"Over the next few days, the JTWC continued to monitor Yasa as a subtropical cyclone, before the system was last noted during December 24."
45,"-Preparations-
--Fiji--
During December 11, the FMS issued a gale warning for Rotuma, as Tropical Depression 01F was expected to impact the Fijian dependency, with wind gusts of up to 60 km/h(35 mph)."
46,"They also noted that the system was expected, to produce very rough to high seas, heavy rain and sea flooding of low-lying coastal areas."
47,This warning was subsequently expanded during the following day to include Tropical Depression 02F and an associated convergence zone.
48,"The warning was cancelled during December 13, after 02F had merged with 01F and developed into a tropical cyclone."
49,"Over the next few days, strong wind, heavy rain and flood warnings were issued for various parts of the archipelago, before a tropical cyclone alert was issued during December 15, for Rotuma, Viti Levu, Vanua Levu as well as the Yasawa and Mamanuca island groups."
50,"Later that day, the alert was expanded to include the whole of Fiji, while gale warnings were issued for the Yasawa and Mamanuca island groups, Viti Levu and Vanua Levu."
51,"Over the next few days, various gale, storm, hurricane, storm surge and damaging swell warnings were issued for the group."
52,"On December 16, shipping services were halted and the Ministry of Fisheries strongly advised fishermen to refrain from travelling out to sea."
53,"The Ministry of Education, Heritage and Arts ordered the closure of all schools as schools would be used as evacuation centers and an Emergency Operations Center was activated by the National Disaster Management Office."
54,The Fiji Police Force activated its Cyclone Response Operation with police officers deployed around the country with necessary resources.
