,0,1
0,Cyclone Yasa at peak intensity on December 16,Cyclone Yasa at peak intensity on December 16
1,Meteorological history,Meteorological history
2,Formed,"December 11, 2020"
3,Extratropical,"December 19, 2020"
4,Dissipated,"December 24, 2020"
5,Category 5 severe tropical cyclone,Category 5 severe tropical cyclone
6,10-minute sustained (FMS),10-minute sustained (FMS)
7,Highest winds,230 km/h (145 mph)
8,Lowest pressure,917 hPa (mbar); 27.08 inHg
9,Category 5-equivalent tropical cyclone,Category 5-equivalent tropical cyclone
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,260 km/h (160 mph)
12,Lowest pressure,914 hPa (mbar); 26.99 inHg
13,Overall effects,Overall effects
14,Fatalities,4
15,Missing,1
16,Damage,$245 million (2020 USD)
17,Areas affected,VanuatuFijiTonga
18,IBTrACS,IBTrACS
19,Part of the 2020–21 South Pacific cyclone season,Part of the 2020–21 South Pacific cyclone season
