index,List of confirmed tornadoes,List of confirmed tornadoes,List of confirmed tornadoes,List of confirmed tornadoes,List of confirmed tornadoes,List of confirmed tornadoes,Unnamed: 6_level_0
,F#,Location,County,Time (UTC),Path length,Damage,Unnamed: 6_level_1
0,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota
1,F4,NE of Cologne to N of Crystal Bay,Carver,0008,13 miles (21 km),"3 deaths – The first of four powerful F4 tornadoes touched down just east of Cologne in Carver County. The tornado struck the Island Park–Mound area, where it destroyed 17 homes,[6] some of which were leveled. The tornado then struck and destroyed most of the Navarre community, where 16 homes were destroyed. The tornado also destroyed all barns and outbuildings on 30 farms. Homes were destroyed on 20 farms as well.[6] According to a 1975 map, which contains the most revised data on the May 6 tornadoes, the tornado dissipated north of Crystal Bay.[5]",
2,F4,Chanhassen to S of Wayzata,Carver,0027,7 miles (11 km),"The second of the four F4 tornadoes—and the first of two to be photographed this day—touched down near Lake Susan in Chanhassen and traveled seven miles (11 km) toward Deephaven in Hennepin County. The first damage was reported south of Chanhassen, where 30 homes were damaged or destroyed. The tornado traveled due north, causing damage to a lumberyard and a shopping center. The tornado then damaged 35 homes at Lotus Lake and damaged or destroyed another 50 at Christmas Lake. As the tornado continued into Deephaven, it destroyed 100 homes, some of which were completely leveled, including ""large and expensive"" homes.[6] According to official sources, the tornado dissipated after hitting Deephaven, and only two tornadoes hit Fridley;[5] however, Grazulis reports that the tornado turned northeast, continuing beyond Deephaven, passing just south of Medicine Lake, striking Golden Valley, and hitting Fridley at 7:10 p.m. (0110 UTC).[6] Six homes were reportedly damaged in Golden Valley, ""clocks stopped"" in Fridley, and 25 airplanes were damaged or destroyed at Anoka County-Blaine Airport in Blaine.[6] However, the official records end this tornado near Deephaven and only indicate that two tornadoes, not three, hit Fridley.[5]",
3,F3,E of New Auburn to NW of Lester Prairie,"Sibley, McLeod",0034,16 miles (26 km),"Tornado touched down about three miles (4.8 km) east of New Auburn in Sibley County and moved to just west of Lester Prairie in McLeod County. The tornado damaged or destroyed at least 25 farm buildings, as well as a church and a school, but there were no injuries or fatalities. Damage reached $1,000,000 (1965 USD).[6]",
4,F2,E of Green Isle to NE of Norwood Young America,"Sibley, Carver",0043,11 miles (18 km),"1 death – Tornado touched down about two miles (3.2 km) east of Green Isle in Sibley County and was on the ground 11 miles (18 km). It dissipated about two miles (3.2 km) southwest of Waconia in Carver County. A farmer and his cattle were killed three miles (4.8 km) southeast of Hamburg.[6] Photographs showed that nearby trees were debarked and shredded.[8] The tornado was up to 0.75 miles (1.21 km) wide near Norwood Young America and Waconia.[6] Three barns were reportedly destroyed southwest of Cologne at 7:15 p.m. (0115 UTC), but Grazulis counts the damage as being related to a second F2 tornado (not officially listed).[6] 175 people were injured which, as of 2022, in the most injuries caused by an F2/EF2 tornado.[9]",
5,F4,SW of Columbia Heights to Fridley to N of Spring Lake Park,"Hennepin,[6] Anoka",0106,7 miles (11 km),"3 deaths – See section on this tornado The first of at least two tornadoes to hit Fridley touched down in the southwesternmost corner of Fridley in Anoka County. It then moved across the Northern Ordnance industrial plant and continued to Osborne Road and Highway 65.[6][8] At this point, the tornado was visually spectacular and, like the Deephaven tornado, was one of the two tornadoes to be photographed during the outbreak.[6][8] The funnel then struck Fridley directly, hitting the main school and park complex, the city hall, and a trailer court.[6][8] Three hundred people were attending an evening program in Fridley Junior High when the tornado struck, but only a single child was injured.[6] The tornado eventually struck hundreds of homes in Fridley before continuing north-northeast into Spring Lake Park. There, the tornado was at its greatest intensity, destroying 150 homes and leveling some of them.[6] Seventy-five percent of all the businesses in Spring Lake Park were reported destroyed, and 900 people in the town were said to be homeless.[6] 175 people were injured. The tornado dissipated just northeast of Laddie Lake in Blaine in Anoka County.[8]",
6,F4,Golden Valley to Fridley to Lino Lakes,"Hennepin, Anoka, Ramsey[10]",0214,18 miles (29 km),"6 deaths – See section on this tornado The last and deadliest violent tornado of the day touched down in Golden Valley in Hennepin County and moved across north Minneapolis, Fridley in Anoka County, and Mounds View in Ramsey County before dissipating just west of Centerville in Anoka County. Like the previous event, this tornado also struck the Northern Ordnance industrial plant. Total damage from the two tornadoes at the Northern Ordnance plant reached $2 million (1965 USD) in damage, shutting down the plant for more than one month.[8] Next, the tornado damaged 25 homes and eight businesses when it hit Golden Valley.[10] The tornado then became the second of the day to hit Fridley, and even struck the same trailer park in Fridley hit by the previous tornado.[8][10] The tornado also destroyed 85% of an elementary school. In Fridley, some homes were hit more than once by multiple tornadoes.[10] As it continued into Mounds View, the tornado completely leveled numerous homes, killing six people. In all, 46 homes in Mounds View were destroyed, and losses reached about $1 million (1965 USD).[10] 158 people were injured.",
7,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma
8,F2,NW of Loyal,Kingfisher,0000,0.1 miles (0.16 km),"A brief touchdown destroyed a barn, a shop, a granary, and a shed. It also damaged four homes and two ""combines.""[6]",
