index,sentences
0,"The February 25–27, 2010 North American blizzard(also known as the ""Snowicane"") was a winter storm and severe weather event that occurred in the Mid-Atlantic and New England regions of the United States between February 24 and 26, 2010."
1,"The storm dropped its heaviest snow of 12 to 24 inches(30 to 61 cm)(locally as much as 36 inches(91 cm)) across a wide area of interior New England, New York, and Pennsylvania."
2,"The storm also brought flooding rains to coastal sections of New England, with some areas experiencing as much as 4 inches(10 cm)."
3,"Aside from precipitation, the nor'easter brought hurricane-force sustained winds to coastal New England."
4,"This storm was a complex combination of multiple systems, including an upper air low from the northern Great Plains states, and a surface low from the Gulf Coast states."
5,"As the surface low tracked northeast from the coast of North Carolina, the upper air low transferred its energy to it, eventually enabling the new storm to undergo rapid intensification near the shore of eastern Long Island."
6,A strong blocking regime of high pressure over the Canadian Maritime provinces prevented the storm system from exiting to the east.
7,"This resulted in a cutoff low(not influenced by the predominant jet stream currents), which took a highly unusual track, retrograding west into New York state before looping back out to sea."
8,"-Impact-
--Connecticut--
Many parts of Connecticut received heavy rainfall from this storm as well as high winds."
9,Rainfall totals above 2 inches(5.1 cm) were widespread over the state.
10,"Colder air worked into the state overnight on February 25, changing the rain to snow statewide by the morning of February 26."
11,Schools were closed and train service was reduced on the Metro-North New Haven Line.
12,Snowfall amounts varied from less than an inch in eastern parts of the state to as much as 19 inches(48 cm) in western portions of Fairfield and Litchfield counties.
13,"--Delaware--
Northern Delaware received 3 to 4 inches(76 to 102 mm), and lesser amounts were recorded in Kent and Sussex counties."
14,"--Maine--
High winds combined with heavy snow were helping bring down power lines early Friday, leaving nearly 100,000 residents out of power in Maine."
15,An unofficial gust of 94 mph(151 km/h) was recorded in Cape Elizabeth.
16,"--Maryland--
Snowfall in Maryland from the storm was mostly limited to Garrett County and western Allegany County, where blizzard conditions and deep drifting snow made travel very difficult or impossible on Interstate 68 and U.S. Route 40 in the mountainous western panhandle of the state on February 26."
17,"However, strong winds led to scattered power outages in and around Baltimore."
18,"As many as 12,500 customers were without power early on Friday, February 26."
19,"A peak wind gust of 53 mph(85 km/h) was reported at Baltimore/Washington International Thurgood Marshall Airport, and sustained winds of 30 to 45 mph(48 to 72 km/h) were widespread in the area, which led to the National Weather Service issuing a High Wind Warning for the area."
20,"--Massachusetts--
Unofficial wind measurements at Plum Island exceeded 90 mph."
21,Sustained winds in excess of tropical storm force(39 mph(63 km/h)) and heavy rain caused large tree branches in the region to break.
22,"This led to power outages, and delays on area transport networks."
23,"A spokesman for the Massachusetts Emergency Management Agency reported 85,000 customers in Essex and Middlesex counties were without power the morning of February 26."
24,MBTA Green Line service on the Riverside Branch was suspended due to fallen branches on the evening of February 25 until the morning of the 26th.
