index,0,1
0,"Category 1 ""Notable"" (RSI/NOAA: 2.154)","Category 1 ""Notable"" (RSI/NOAA: 2.154)"
1,The blizzard rapidly deepening just offshore of the Northeastern United States on February 9,The blizzard rapidly deepening just offshore of the Northeastern United States on February 9
2,,
3,,
4,Type,Extratropical cyclone Winter storm Bomb cyclone Nor'easter Blizzard
5,Formed,"February 6, 2017"
6,Dissipated,"February 11, 2017"
7,,
8,,
9,Highest winds,"43 mph (69 km/h) 2 mi (3 km) NE of Hyannis, Massachusetts[1]"
10,Highest gust,"70 mph (110 km/h) 2 mi (3 km) NE of Hyannis, Massachusetts[1]"
11,Lowest pressure,969 mb (28.61 inHg)
12,,
13,,
14,Maximum snowfall or ice accretion,"24.0 in (61 cm) near Cooper, Maine"
15,,
16,,
17,Fatalities,1 death
18,Damage,Unknown
19,Power outages,"80,000+"
20,Areas affected,"Central Plains, Midwest, Ohio Valley, Northeast (Mid-Atlantic states, especially the New England states), Atlantic Canada, Greenland"
21,Part of the 2016–17 North American winter,Part of the 2016–17 North American winter
