,0,1
0,Agnes near peak intensity in the Gulf of Mexico on June 18,Agnes near peak intensity in the Gulf of Mexico on June 18
1,Meteorological history,Meteorological history
2,Formed,"June 14, 1972"
3,Extratropical,"June 23, 1972"
4,Dissipated,"July 6, 1972"
5,Category 1 hurricane,Category 1 hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,85 mph (140 km/h)
8,Lowest pressure,977 mbar (hPa); 28.85 inHg
9,Overall effects,Overall effects
10,Fatalities,128 direct
11,Damage,$2.1 billion (1972 USD)
12,Areas affected,"Yucatán Peninsula, Western Cuba, East Coast of the United States (especially Pennsylvania), Atlantic Canada, Iceland, British Isles"
13,IBTrACS,IBTrACS
14,Part of the 1972 Atlantic hurricane season,Part of the 1972 Atlantic hurricane season
