,0,1
0,A radar image of Hurricane Alice after peak intensity,A radar image of Hurricane Alice after peak intensity
1,Meteorological history,Meteorological history
2,Formed,"December 30, 1954"
3,Dissipated,"January 6, 1955"
4,Category 1 hurricane,Category 1 hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,90 mph (150 km/h)
7,Lowest pressure,980 mbar (hPa); 28.94 inHg
8,Overall effects,Overall effects
9,Fatalities,
10,Damage,"$623,000 (1954 USD)"
11,Areas affected,Lesser Antilles
12,IBTrACS,IBTrACS
13,Part of the 1954 Atlantic hurricane season,Part of the 1954 Atlantic hurricane season
