,0,1
0,Beatriz shortly after peak intensity while brushing the coast of Mexico on June 21,Beatriz shortly after peak intensity while brushing the coast of Mexico on June 21
1,Meteorological history,Meteorological history
2,Formed,"June 19, 2011"
3,Dissipated,"June 22, 2011"
4,Category 1 hurricane,Category 1 hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,90 mph (150 km/h)
7,Lowest pressure,977 mbar (hPa); 28.85 inHg
8,Overall effects,Overall effects
9,Fatalities,4
10,Damage,Minimal
11,Areas affected,Southwestern Mexico
12,IBTrACS,IBTrACS
13,Part of the 2011 Pacific hurricane season,Part of the 2011 Pacific hurricane season
