,0,1
0,Bob intensifying over the Gulf of Mexico on July 10,Bob intensifying over the Gulf of Mexico on July 10
1,Meteorological history,Meteorological history
2,Formed,"July 9, 1979"
3,Dissipated,"July 16, 1979"
4,Category 1 hurricane,Category 1 hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,75 mph (120 km/h)
7,Lowest pressure,986 mbar (hPa); 29.12 inHg
8,Overall effects,Overall effects
9,Fatalities,1
10,Damage,$20 million (1979 USD)
11,Areas affected,Louisiana Mississippi Tennessee Kentucky Indiana Ohio
12,IBTrACS,IBTrACS
13,Part of the 1979 Atlantic hurricane season,Part of the 1979 Atlantic hurricane season
