,0,1
0,Satellite image of Hurricane Brenda near Mexico,Satellite image of Hurricane Brenda near Mexico
1,Meteorological history,Meteorological history
2,Formed,"August 18, 1973"
3,Dissipated,"August 22, 1973"
4,Category 1 hurricane,Category 1 hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,90 mph (150 km/h)
7,Lowest pressure,977 mbar (hPa); 28.85 inHg
8,Overall effects,Overall effects
9,Fatalities,10
10,Areas affected,"Cayman Islands, Mexico"
11,IBTrACS,IBTrACS
12,Part of the 1973 Atlantic hurricane season,Part of the 1973 Atlantic hurricane season
