,sentences
0,Hurricane Carrie was a deadly and long-lived Category 4 major hurricane which was the strongest tropical cyclone of the 1957 Atlantic hurricane season and one of the longest-lasting tropical cyclones in the North Atlantic basin.
1,"The third named storm and second hurricane of the year, Carrie formed from an easterly tropical wave off the western coast of Africa on September 2, a type of tropical cyclogenesis typical of Cape Verde-type hurricanes."
2,"Moving to the west, the storm gradually intensified, reaching hurricane strength on September 5."
3,"Carrie intensified further, before reaching peak intensity on September 8 as a Category 4 hurricane with maximum sustained winds of 140 mph(220 km/h) in the open Atlantic Ocean."
4,The hurricane curved northwards and fluctuated in intensity as it neared Bermuda on September 14.
5,"However, Carrie passed well north of the island and turned to the northeast towards Europe."
6,"Weakening as it reached higher latitudes, the storm transitioned into an extratropical cyclone on September 23, prior to affecting areas of the British Isles, and subsequently dissipated on September 28."
7,"Due to its distance away from any major land masses, Carrie caused minimal damage along its path."
8,"On September 16, the hurricane passed well north of Bermuda, causing minimal damage despite its intensity at the time, though hurricane reconnaissance flights in the area were postponed due to damage sustained by one of the aircraft."
9,"As it transitioned into an extratropical cyclone southwest of the Azores, the German ship Pamir encountered the storm and capsized on September 21, resulting in the deaths of 80 crew members on board."
10,"As an extratropical storm, Carrie brought strong storm surge and heavy rain to the British Isles, claiming three lives."
11,The hurricane's long duration and path in open water helped it attain several Atlantic hurricane records.
12,"-Meteorological history-
In early September, a trough was identified along the western coast of Africa."
13,"Moving towards the west as a result of a strong Azores High, the disturbance passed over Cape Verde on September 2."
14,Observations from weather stations evidenced cyclonic rotation in the region.
15,An airplane belonging to Panair do Brasil passed within the vicinity of the vorticity and as a result reported the formation of a tropical storm.
16,In HURDAT—the official database listing all known Atlantic tropical cyclones since 1851—the system was listed to have reached tropical depression intensity at 0600 UTC that day.
17,"The depression continued to steadily intensify as it moved westwards, later reaching the equivalent of a modern-day Category 1 hurricane by 0600 UTC on September 5."
18,"On September 6, the ship African Star encountered the hurricane 700 mi(1,100 km) west of Cape Verde."
19,Reported winds of 92 mph(148 km/h) and a minimum pressure of 1001 mbar(hPa; 29.56 inHg) confirmed the existence of the tropical cyclone.
20,"A Weather Bureau forecaster remarked that the hurricane was in a ""blind spot"" at the time due to its location outside of shipping lanes and Hurricane Hunter reconnaissance missions."
21,"Throughout the day, the hurricane intensified, reaching major hurricane intensity by 0000 UTC on September 7."
22,"Shortly after, a United States Air Force reconnaissance flight headed for Bermuda was diverted to observe the hurricane."
23,"The flight reported a well-defined eye measuring 20 mi(32 km) across and a minimum pressure of 945 mbar(hPa; 27.91 inHg), the lowest measured in relation to the hurricane."
24,"At the time, Carrie had maximum sustained winds of 135 mph(217 km/h), equivalent to a modern-day Category 4 hurricane."
25,"Further strengthening ensued, and the hurricane peaked in intensity on September 8 with winds of 140 mph(230 km/h)."
26,"After reaching peak intensity on September 8, Carrie began to gradually weaken due to a decreasing pressure gradient caused by a trough that had cut through the Azores High."
27,"By September 11, the hurricane had degenerated into a Category 1 hurricane."
28,A reconnaissance flight reported a minimum pressure of 984 mbar(hPa; 29.06 inHg).
29,"At the same time, Carrie began to slowly curve towards the north in response to the trough."
30,"The storm later began to slowly reintensify, reattaining major hurricane strength by 1200 UTC on September 13."
31,The restrengthening of the subtropical ridge on September 14 caused the hurricane to quickly curve towards the northwest.
32,"National Hurricane Research Project(NHRP) observers described the hurricane as ""one of the most perfectly formed hurricanes they had seen."""
33,Carrie began to steadily weaken again beginning on September 15.
34,"As it passed north of Bermuda the following day, weather radar imagery from the island indicated that the hurricane had an ill-defined structure, with its eye having expanded to 40–70 mi(64–113 km) in diameter."
35,"However, as it curved and accelerated eastward in response to a second trough of low pressure, Carrie maintained hurricane intensity up until September 23, when it transitioned into an extratropical cyclone."
36,The remnant system continued eastwards until it dissipated over Ireland by 1800 UTC on September 28.
37,"-Preparations, impact, and records-
--Preparations and impact--
After reports confirmed the existence of a hurricane in the eastern Atlantic, the Weather Bureau warned shipping lanes in the storm's path."
38,"Small craft warnings were issued for offshore areas from Block Island, Rhode Island south to Savannah, Georgia on September 7 due to the threat of rough seas."
39,"After Carrie stalled on September 11, the Weather Bureau gave Florida a slight chance of being affected by the storm, but the possibilities of the storm affecting the peninsula decreased after the hurricane curved northwards."
40,"After the storm was forecast to potentially impact Bermuda, schools were closed in preparation for Carrie, while vessels were warned of the oncoming hurricane."
41,"Most planes in Kindley Air Force Base on the island were evacuated, with the remaining planes weighted down by sandbags."
42,"After passing Bermuda, the storm was forecast to strike Nova Scotia, but instead Carrie curved towards the northeast."
43,"As the U.S. Air Force was maintaining continuous reconnaissance of the hurricane using converted Boeing B-50 Superfortresses, one of the planes lost an engine and was forced to fly back to West Palm Beach, Florida for repairs."
44,"Four other undamaged aircraft were called back to West Palm Beach, including a crippled ship, while two other B-50s were held at Bermuda."
45,"Passing well north of the island on September 16, effects of Carrie on Bermuda were minimal, with peak gusts reaching only 35 mph(56 km/h)."
46,"The German barque Pamir, en route from Buenos Aires to Hamburg, Germany, encountered the hurricane southwest of the Azores on September 21 while carrying barley cargo."
47,"The ship sank due to the effects of Carrie, and 80 people out of the 86 crew members on board the ship perished."
48,The final message received from the Pamir was a distress call and indicated that the ship had lost all of its sails and had been listing at a 45° angle.
49,"A search and rescue operation ensued after the loss of the ship was reported, involving the U.S. Air Force and Navy, as well as the British Air Force and Navy."
50,Other ships from Canada and Portugal were also involved in the search.
51,"All associated groups were inconclusive in their findings, with no sign of debris left from the ship."
52,"However, two lifeboats and a raft were found, but they were empty."
53,"As an extratropical storm, Carrie impacted the Azores, though damages, if any, remain unknown."
54,"The extratropical remnants of Carrie later struck the British Isles on September 24 and 25, causing strong winds, waves, and severe flooding."
55,Winds from the system were estimated at 50 mph(80 km/h).
56,The strong waves caused extensive property damage and killed three.
57,"--Records--
Lasting as a hurricane for 20.75 days, Carrie was at the time tied for second in terms of longest-existing Atlantic tropical cyclones, alongside the ninth hurricane of the 1893 Atlantic hurricane season and behind the 1899 San Ciriaco hurricane."
58,"Due to the hurricane's long duration, the Weather Bureau office in San Juan, Puerto Rico issued 62 advisories on the storm, which was at the time the most ever issued in association with an Atlantic hurricane."
59,"Carrie's long duration and distance from any land masses also contributed to its record travel distance of 6,000 mi(9,700 km)."
