index,0,1
0,Surface analysis of Hurricane Carrie on September 14,Surface analysis of Hurricane Carrie on September 14
1,Meteorological history,Meteorological history
2,Formed,"September 2, 1957"
3,Extratropical,"September 23, 1957"
4,Dissipated,"September 28, 1957"
5,Category 4 major hurricane,Category 4 major hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,140 mph (220 km/h)
8,Lowest pressure,945 mbar (hPa); 27.91 inHg
9,Overall effects,Overall effects
10,Fatalities,83
11,Areas affected,"Bermuda, Azores, British Isles, France"
12,IBTrACS,IBTrACS
13,Part of the 1957 Atlantic hurricane season,Part of the 1957 Atlantic hurricane season
