index,0,1
0,Charley near peak intensity off the coast of North Carolina on August 17,Charley near peak intensity off the coast of North Carolina on August 17
1,Meteorological history,Meteorological history
2,Formed,"August 15, 1986"
3,Extratropical,"August 20, 1986"
4,Dissipated,"August 30, 1986"
5,Category 1 hurricane,Category 1 hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,80 mph (130 km/h)
8,Lowest pressure,987 mbar (hPa); 29.15 inHg
9,Overall effects,Overall effects
10,Fatalities,15
11,Damage,>$15 million (1986 USD) (Total for United States only)
12,Areas affected,"Southeastern United States, Mid-Atlantic states, Massachusetts, British Isles"
13,IBTrACS,IBTrACS
14,Part of the 1986 Atlantic hurricane season,Part of the 1986 Atlantic hurricane season
