,0,1
0,Cleo as a Category 4 hurricane over the Caribbean on August 23,Cleo as a Category 4 hurricane over the Caribbean on August 23
1,Meteorological history,Meteorological history
2,Formed,"August 21, 1964"
3,Dissipated,"September 5, 1964"
4,Category 4 major hurricane,Category 4 major hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,150 mph (240 km/h)
7,Lowest pressure,938 mbar (hPa); 27.70 inHg
8,Overall effects,Overall effects
9,Fatalities,156 total
10,Damage,$187 million (1964 USD)
11,Areas affected,"Lesser Antilles, Greater Antilles (particularly Haiti), Southeast United States"
12,IBTrACS,IBTrACS
13,Part of the 1964 Atlantic hurricane season,Part of the 1964 Atlantic hurricane season
