,0,1
0,Cristobal near peak intensity off the U.S. East Coast on August 28,Cristobal near peak intensity off the U.S. East Coast on August 28
1,Meteorological history,Meteorological history
2,Formed,"August 23, 2014"
3,Extratropical,"August 29, 2014"
4,Dissipated,"September 2, 2014"
5,Category 1 hurricane,Category 1 hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,85 mph (140 km/h)
8,Lowest pressure,965 mbar (hPa); 28.50 inHg
9,Overall effects,Overall effects
10,Fatalities,7
11,Damage,Unknown
12,Areas affected,"Puerto Rico, Hispaniola, Turks and Caicos Islands, East Coast of the United States, Bermuda, Iceland"
13,IBTrACS,IBTrACS
14,Part of the 2014 Atlantic hurricane season,Part of the 2014 Atlantic hurricane season
