index,sentences
0,"Hurricane Dot was a powerful hurricane which affected Hawaii in August 1959, making it, at the time, the costliest tropical cyclone in Hawaiian history."
1,Dot was first identified as a strong tropical storm southeast of Hawaiʻi on August 1.
2,"The storm was potentially a continuation of a previously unnamed tropical cyclone that was monitored west of the Baja California Peninsula from July 24–27, but was never confirmed due to a lack of ship reports."
3,"Dot was quick to intensify, reaching hurricane intensity six hours after naming."
4,"By August 3, Dot reached its peak intensity, with maximum sustained winds reaching 150 mph(240 km/h)."
5,"Intensity leveled off afterwards as Dot tracked westward before making a curve towards the northwest on August 5, after which the hurricane weakened at a faster clip."
6,Dot made landfall the next day on Kauai as a minimal hurricane before dissipating west of the Hawaiian Islands on August 8.
7,"Dot produced heavy rainfall and gusty winds as it passed south of the Big Island, Lanai, Maui, Molokai, and Oahu, resulting in minor damage."
8,"In Oahu, some homes along the coast were unroofed, and damage from wave action was also reported."
9,"Damage from these four islands totaled US$150,000, and two indirect deaths occurred in Lanai."
10,"Extensive damage occurred on Kauai as Dot made landfall, producing wind gusts as high as 103 mph(166 km/h) and toppling trees and power lines."
11,"Widespread power outages affected the island, causing telecommunications and water systems to fail."
12,"Although infrastructure was damaged to an extent by floodwater and strong winds, crops suffered the most losses."
13,Cane sugar crops sustained US$2.7 million in losses.
14,"Overall, damage from Dot across Hawaii totaled US$6 million, and a disaster area declaration and state of emergency took effect for the archipelago after the hurricane's passage."
15,"-Meteorological history-
On July 24, the SS Pacificus encountered a storm with maximum sustained winds meeting the threshold of tropical storm status roughly 1,000 mi(1,600 km) west of the Baja California Peninsula."
16,"Despite reports that the location of the system remained vague, the Joint Typhoon Warning Center(JTWC) began issuing tropical cyclone advisories and warnings on the unnamed disturbance."
17,"Tracking west-northwestward, the tropical storm peaked with winds reported at 65 mph(105 km/h) shortly after its discovery; however, the JTWC discontinued its monitoring of the cyclone on July 27 due to a lack of ship reports confirming the location of the tropical storm."
18,"At 1800 UTC on August 1, an unidentified ship roughly 950 mi(1,550 km) southeast of Hilo, Hawaii reported 70 mph(110 km/h) winds within a storm, prompting the JTWC to initiate advisories on Tropical Storm Dot."
19,"Despite an apparent correlation between Dot and the preceding unnamed tropical cyclone, the lack of ship reports between July 27 and August 1 prevented the agency from confirming that the two systems were the same."
20,"Nonetheless, development upon designation was rapid as the system tracked westward, with reports from the SS Sonoma indicating that Dot had intensified to hurricane strength by August 2."
21,"Rapid intensification continued, and at 0000 UTC on August 3, reconnaissance aircraft found winds of 150 mph(240 km/h) and a minimum barometric pressure of 952 mbar(hPa; 28.11 inHg), making Dot a Category 4 hurricane on the modern-day Saffir–Simpson hurricane wind scale."
