,0,1
0,Surface weather analysis of Dot near peak intensity on August 3,Surface weather analysis of Dot near peak intensity on August 3
1,Meteorological history,Meteorological history
2,Formed,"August 1, 1959"
3,Dissipated,"August 8, 1959"
4,Category 4 major hurricane,Category 4 major hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,150 mph (240 km/h)
7,Lowest pressure,952 mbar (hPa); 28.11 inHg
8,Overall effects,Overall effects
9,Fatalities,2 indirect
10,Damage,$6 million (1959 USD)
11,Areas affected,Hawaii
12,IBTrACS,IBTrACS
13,Part of the 1959 Pacific hurricane season,Part of the 1959 Pacific hurricane season
