,0,1
0,Earl at peak intensity while passing by Atlantic Canada on September 10,Earl at peak intensity while passing by Atlantic Canada on September 10
1,Meteorological history,Meteorological history
2,Formed,"September 2, 2022"
3,Extratropical,"September 10, 2022"
4,Dissipated,"September 15, 2022"
5,Category 2 hurricane,Category 2 hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,110 mph (175 km/h)
8,Lowest pressure,948 mbar (hPa); 27.99 inHg
9,Overall effects,Overall effects
10,Fatalities,4 total
11,Damage,Minimal
12,Areas affected,"Puerto Rico, Bermuda, Newfoundland"
13,Part of the 2022 Atlantic hurricane season,Part of the 2022 Atlantic hurricane season
