index,0,1
0,Edouard at peak intensity on August 25,Edouard at peak intensity on August 25
1,Meteorological history,Meteorological history
2,Formed,"August 19, 1996"
3,Extratropical,"September 3, 1996"
4,Dissipated,"September 7, 1996"
5,Category 4 major hurricane,Category 4 major hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,145 mph (230 km/h)
8,Lowest pressure,933 mbar (hPa); 27.55 inHg
9,Overall effects,Overall effects
10,Fatalities,2 direct
11,Damage,$20 million (1996 USD)
12,Areas affected,"East Coast of the United States, Atlantic Canada"
13,IBTrACS,IBTrACS
14,Part of the 1996 Atlantic hurricane season,Part of the 1996 Atlantic hurricane season
