index,sentences
0,"Hurricane Erick brought moderate impacts to the western coastline of Mexico in July 2013, and was the last of a succession of four Category 1 hurricanes to affect the Pacific coast of Mexico early in the 2013 Pacific hurricane season."
1,"The fifth named storm and fourth hurricane of the annual season, Erick originated from a tropical wave that moved off the western coast of Africa on June 18."
2,"The wave tracked swiftly westward with little development, emerging into the eastern Pacific on July 1."
3,"As a result of favorable environmental conditions, the wave developed into a tropical depression on July 4, and further into Tropical Storm Erick at 0000 UTC on July 5."
4,"Steered generally west-northwest, Erick intensified into a Category 1 hurricane and reached its peak intensity with winds of 80 mph(130 km/h) on July 6."
5,"Its proximity to land and track over increasingly cooler waters caused the storm to deteriorate into a tropical storm the following day, though it remained at such intensity until degenerating into a remnant low early on July 9."
6,"The remnant circulation dissipated a few hours later, southwest of Baja California Sur."
7,"In preparation for the cyclone, numerous tropical cyclone warnings and watches were issued for various portions of the coastline of Mexico."
8,Ports were closed and residents in low-lying areas were asked to evacuate to higher grounds.
9,"In addition, shipping by means of boat was suspended."
10,"Though the center of Erick remained offshore, the outer bands of the system brought gusty winds and isolated heavy rainfall to Western Mexico."
11,"In Guerrero, minor flooding was reported in the cities of Acapulco and Puerto Marques."
12,"A river overflowed its banks in Nayarit, flooding several cities in the state."
13,"Numerous cars, streets, and homes were damaged by flooding."
14,"A woman died as she attempted to flee her house, while a man was killed after being swept away by the river."
15,Hundreds of people were rescued by the Mexican military and Nayarit officials.
16,"Across Baja California Sur, the storm produced widespread precipitation, leading to flooding."
17,"-Meteorological history-
On June 18, a tropical wave emerged off the western coastline of Africa and into the eastern Atlantic."
18,"Tracking steadily westward, it maintained a small but organized area of convection—shower and thunderstorm activity—along its axis for the next several days."
19,"The wave crossed the Lesser Antilles on June 24 and Central America on June 29, emerging into the eastern Pacific shortly thereafter."
20,"During the evening of July 1, the National Hurricane Center(NHC) began monitoring the system, noting that environmental conditions were expected to become favorable for slow development."
21,"The wave interacted with a larger area of low pressure on July 2, leading to an increase in convective coverage and the formation of a broad low-pressure area."
22,"Continuing slowly westward, the system acquired enough organization to be declared a tropical depression at 1200 UTC on July 4, while centered 205 mi(330 km) southeast of Acapulco, Mexico."
23,"Despite the initially exposed center of circulation, a byproduct of moderate wind shear, the depression soon began to organize as convective banding increased and gained more curvature."
24,This led to the classification of Tropical Storm Erick at 0000 UTC on July 5.
25,"Under the influence of a mid-level ridge over the northwestern Caribbean Sea and an upper-level ridge over the southwestern United States, the newly upgraded Erick tracked west-northwest parallel to the coastline of Mexico."
26,"A central dense overcast formed by the daylight hours of July 5, with tight banding noted on satellite."
27,"In addition, microwave imagery indicated the formative stages of an eyewall."
28,"Initially vertically decoupled, the storm became more vertically aligned throughout the following hours."
29,"A ragged eye became intermittently visible on satellite, and Erick was upgraded to Category 1 hurricane status at 0600 UTC, located approximately 105 mi(170 km) west-southwest of Lázaro Cárdenas, Mexico."
30,"In conjunction with satellite intensity estimates, it is estimated that Erick attained its peak intensity with maximum sustained winds of 80 mph(130 km/h) and a minimum barometric pressure of 983 mb(hPa; 29.03 inHg) at 1200 UTC."
31,"Shortly thereafter, its proximity to the coastline of Mexico and track over increasingly cooler waters caused the storm to begin a weakening trend."
32,"At 1800 UTC on July 7, Erick weakened to a tropical storm as its associated convective mass warmed and the eye deteriorated."
33,"Wind shear caused the center of circulation to become exposed on July 9 as the system passed just south of Baja California Sur, leading to degeneration into a remnant low-pressure area at 0600 UTC."
34,"The remnant vortex persisted for a few more hours, before dissipating over cold sea surface temperatures at 0000 UTC on July 10."
35,"-Preparations and impact-
Following the system's designation, a tropical storm watch was issued for the southwestern coastline of Mexico stretching from Acapulco to La Fortuna."
36,"By 0300 UTC on July 5, the watch was extended from Acapulco to Manzanillo, while a tropical storm warning was issued from Lázaro Cárdenas to Manzanillo."
37,"Several hours later, the watch was discontinued for the coastline stretching from Acapulco to Lázaro Cárdenas and issued from La Fortuna to Cabo Corrientes, Jalisco."
38,"Meanwhile, the warning from Lázaro Cárdenas to Manzanillo was discontinued, with a new warning issued from Zihuatanejo to La Fortuna."
39,"All tropical storm watches in effect were discontinued by 0300 UTC the following morning, with the warning being extended from Zihuatanejo to Cabo Corrientes."
40,"After being upgraded to a hurricane, Erick prompted the issuance of hurricane watches stretching from Punta San Telmo to Cabo Corrientes."
41,"At 1500 UTC on July 6, a tropical storm watch was issued from Santa Fe to La Paz, though this was upgraded to a warning several hours later."
42,"Following many other revisions, all tropical cyclone watches and warnings were discontinued after Erick degenerated into a remnant low early on July 9."
43,"In preparation for the tropical cyclone, an ""orange"" alert was issued for southern Michoacán, southern Jalisco, and the entire state of Colima, while a ""yellow"" alert was posted for the rest of the Jalisco coastline."
