,0,1
0,"Erick at peak intensity on July 6, with Tropical Depression Dalila to its west","Erick at peak intensity on July 6, with Tropical Depression Dalila to its west"
1,Meteorological history,Meteorological history
2,Formed,"July 4, 2013"
3,Dissipated,"July 9, 2013"
4,Category 1 hurricane,Category 1 hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,80 mph (130 km/h)
7,Lowest pressure,983 mbar (hPa); 29.03 inHg
8,Overall effects,Overall effects
9,Fatalities,2
10,Missing,2
11,Damage,$30.3 million (2013 USD)
12,Areas affected,"Southwestern Mexico, Western Mexico, Baja California Peninsula"
13,IBTrACS,IBTrACS
14,Part of the 2013 Pacific hurricane season,Part of the 2013 Pacific hurricane season
