index,sentences
0,Hurricane Felicia was a powerful Category 4 Pacific hurricane whose remnants caused significant rainfall and flooding on the Hawaiian Islands.
1,"Felicia was the third strongest tropical cyclone of the 2009 Pacific hurricane season, as well as the strongest storm to exist in the eastern Pacific at the time since Hurricane Daniel in 2006."
2,"Forming as a tropical depression on August 3, the storm supported strong thunderstorm activity and quickly organized."
3,"It became a tropical storm over the following day, and subsequently underwent rapid deepening to attain hurricane status."
4,"Later that afternoon, Felicia developed a well-defined eye as its winds sharply rose to major hurricane-force on the Saffir–Simpson scale."
5,"Further strengthening ensued, and Felicia peaked in intensity as a Category 4 hurricane with sustained winds of 145 mph(233 km/h) and a barometric pressure of 935 mbar(hPa; 27.61 inHg)."
6,"After reaching this strength, unfavorable conditions, such as wind shear, began to impact the storm while it took on a northwestward path."
7,"Henceforth, Felicia slowly weakened for several days; by August 8 it had been downgraded to a Category 1 hurricane, once again becoming a tropical storm the next day."
8,"It retraced westward towards Hawaii on August 10, all the while decreasing in organization."
9,"On August 11, Felicia weakened to tropical depression status, and soon degenerated into remnant low just prior to passing over the islands."
10,"After weakening into a remnant low, Felicia continued to approach the Hawaiian Islands and on August 12, the system produced copious amounts of rainfall across several islands."
11,"The highest total was recorded on Oahu at 14.63 in(372 mm), causing isolated mudslides and flooding."
12,"In Maui, the heavy rains helped to alleviate drought conditions and water shortages, significantly increasing the total water across the island's reservoirs."
13,"In addition, river flooding resulted in the closure of one school and large swells produced by the storm resulted in several lifeguard rescues at island beaches."
14,"In all, only minor impacts were caused by the remnants of Felicia."
15,"-Meteorological history-
Hurricane Felicia originated from a tropical wave that moved off the west coast of Africa into the Atlantic Ocean on July 23, 2009."
16,"A weak system, the wave was barely identifiable as it tracked westward."
17,"By July 26, the wave entered the Caribbean before crossing Central America and entering the eastern Pacific basin on July 29."
18,"The system remained ill-defined until August 1, at which time convection began to increase and the wave showed signs of organization."
19,The storm gradually became better organized as it tracked generally towards the west.
