index,0,1
0,Felicia shortly after peak intensity on August 6,Felicia shortly after peak intensity on August 6
1,Meteorological history,Meteorological history
2,Formed,"August 3, 2009"
3,Dissipated,"August 11, 2009"
4,Category 4 major hurricane,Category 4 major hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,145 mph (230 km/h)
7,Lowest pressure,935 mbar (hPa); 27.61 inHg
8,Overall effects,Overall effects
9,Fatalities,
10,Damage,Minimal
11,Areas affected,Hawaii
12,IBTrACS,IBTrACS
13,Part of the 2009 Pacific hurricane season,Part of the 2009 Pacific hurricane season
