index,Precipitation,Precipitation,Precipitation,Storm,Location,Ref.
,Rank,mm,in,Storm,Location,Ref.
0,1,1473,58.0,Lane 2018,"Kahūnā Falls, Hawaii",[28]
1,2,1321,52.0,Hiki 1950,Kanalohuluhulu Ranger Station,[29]
2,3,985,38.76,Paul 2000,Kapapala Ranch 36,[30]
3,4,700,28.82,Hone 2024,Hakalau,[31]
4,5,635,25.0,Maggie 1970,Various stations,[32]
5,6,519,20.42,Nina 1957,Wainiha,[33]
6,7,516,20.33,Iwa 1982,Intake Wainiha 1086,[34]
7,8,476,18.75,Fabio 1988,Papaikou Mauka 140.1,[34]
8,9,387,15.25,Iselle 2014,Kulani NWR,[35]
9,10,381,15.0,One-C 1994,"Waiākea-Uka, Piihonua",[36]
