index,0,1
0,True-color imagery of Fiona taken west of Bermuda on September 22,True-color imagery of Fiona taken west of Bermuda on September 22
1,Meteorological history,Meteorological history
2,Formed,"September 14, 2022"
3,Extratropical,"September 24, 2022"
4,Dissipated,"September 27, 2022"
5,Category 4 major hurricane,Category 4 major hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,140 mph (220 km/h)
8,Lowest pressure,931 mbar (hPa); 27.49 inHg
9,Overall effects,Overall effects
10,Fatalities,29[a]
11,Damage,≥$3.09 billion (2022 USD)(Second costliest tropical cyclone in Canadian history)
12,Areas affected,"Leeward Islands, Puerto Rico, Dominican Republic, Lucayan Archipelago, Bermuda, Atlantic Canada, Saint Pierre and Miquelon, Greenland"
13,IBTrACS / [1][2],IBTrACS / [1][2]
14,Part of the 2022 Atlantic hurricane season,Part of the 2022 Atlantic hurricane season
