,Precipitation,Precipitation,Precipitation,Storm,Location,Ref.
,Rank,mm,in,Storm,Location,Ref.
0,1,1058.7,41.68,Fifteen 1970,Jayuya 1 SE,[46]
1,2,962.7,37.9,Maria 2017,Caguas,[53]
2,3,845.6,33.29,Eloise 1975,Dos Bocas,[46]
3,4,822.9,32.4,Fiona 2022,Marueno,[1]
4,5,804.4,31.67,Isabel 1985,Toro Negro Forest,[54]
5,6,775.0,30.51,Georges 1998,Jayuya,[46]
6,7,751.8,29.6,San Felipe II 1928,Adjuntas,[55]
7,8,662.2,26.07,Hazel 1954,Toro Negro Tunnel,[56]
8,9,652.5,25.69,Klaus 1984,Guavate Camp,[46]
9,10,596.4,23.48,Hortense 1996,Cayey 1 NW,[46]
