index,Precipitation,Precipitation,Precipitation,Storm,Location,Ref.
,Rank,mm,in,Storm,Location,Ref.
0,1,302.0,11.89,Harvey 1999,"Oxford, NS",[78]
1,2,249.9,9.84,Beth 1971,"Halifax, NS",[79]
2,3,238.0,9.37,Igor 2010,"St. Lawrence, NL",[80]
3,4,224.8,8.85,Matthew 2016,"Sydney, NS",[81]
4,5,221.0,8.7,Debby 2024,"Lanoraie, QC",[82]
5,6,213.6,8.41,Hazel 1954,"Snelgrove, ON",[83]
6,7,212.0,8.35,Fiona 2022,"Cape North, NS",[84]
7,8,210.0,8.26,Earl 2022,"Paradise, NL",[85]
8,9,191.0,7.52,Bertha 1990,"Hunter's Mountain, NS",[86]
9,10,185.0,7.28,Sandy 2012,"Charlevoix, QC",[87]
