index,sentences
0,Hurricane Floyd was a very powerful and large tropical cyclone which struck the Bahamas and the East Coast of the United States.
1,"It was the sixth named storm, fourth hurricane, and third major hurricane in the 1999 Atlantic hurricane season."
2,"Floyd triggered the fourth largest evacuation in US history(behind Hurricane Irma, Hurricane Gustav, and Hurricane Rita) when 2.6 million coastal residents of five states were ordered from their homes as it approached."
3,"The hurricane formed off the coast of Africa and lasted from September 7 to 19, becoming extratropical after September 17, and peaked in strength as a very strong Category 4 hurricane."
4,"It was among the largest Atlantic hurricanes of its strength ever recorded, in terms of gale-force diameter."
5,"Floyd was once forecast to strike Florida, but turned away."
6,"Instead, Floyd struck the Bahamas at peak strength, causing heavy damage."
7,"It then moved parallel to the East Coast of the United States, causing massive evacuations and costly preparations from Florida through the Mid-Atlantic states."
8,"The storm weakened significantly, however, before striking the Cape Fear region, North Carolina as a very strong Category 2 hurricane, and caused further damage as it traveled up the Mid-Atlantic region and into New England."
9,"The hurricane produced torrential rainfall in Eastern North Carolina, adding more rain to an area already hit by Hurricane Dennis just weeks earlier."
10,The rains caused widespread flooding over a period of several weeks; nearly every river basin in the eastern part of the state exceeded 500-year flood levels.
11,"In total, Floyd was responsible for 85 fatalities and $6.5 billion(1999 USD) in damage."
12,"Due to the destruction, the World Meteorological Organization retired the name Floyd and replaced it with Franklin."
13,"-Meteorological history-
Floyd originated from a tropical wave that exited the west coast of Africa on September 2."
14,"The wave moved generally westward, presenting a general curvature in its convection, or thunderstorms, but little organization at first."
15,"By September 5, a center of circulation was evident within the convective system."
16,"Over the next day, the thunderstorms increased in intensity as they organized into a curved band."
17,"Aided by favorable outflow, the system organized further into Tropical Depression Eight late on September 7, located about 1,000 mi(1,600 km) east of the Lesser Antilles."
18,"With a strong ridge of high pressure to its north, the nascent tropical depression moved to the west-northwest, where environmental conditions favored continued strengthening, including progressively warmer water temperatures."
19,"On issuing its first advisory, the National Hurricane Center(NHC) anticipated that the depression would intensify into a hurricane within three days, a forecast that proved accurate."
20,"On its second advisory, NHC forecaster Lixion Avila stated that the depression had ""all the ingredients...that we know of...to become a major hurricane eventually."""
21,"Early on September 8, the depression became sufficiently well-organized for the NHC to upgrade it to Tropical Storm Floyd."
22,"The storm had a large circulation, but Floyd initially lacked a well-defined inner core, which resulted in only slow strengthening."
23,"The first Hurricane Hunters mission occurred on September 9, which observed the developing storm."
24,"On September 10, Floyd intensified into a hurricane about 230 mi(370 km) east-northeast of the Lesser Antilles."
25,"Around that time, the track shifted more to the northwest, steered by a tropical upper tropospheric trough north of Puerto Rico."
26,"An eye developed in the center of the hurricane, signaling strengthening."
27,"On September 11, Hurricane Floyd moved through the upper-level trough, which, in conjunction with an anticyclone over the eastern Caribbean, disrupted the outflow and caused the winds to weaken briefly."
28,"The hurricane re-intensified on September 12 as its track shifted more to the west, steered by a ridge to the north."
29,"That day, the NHC upgraded Floyd to a major hurricane, or a Category 3 on the Saffir-Simpson scale."
30,"Over a 24-hour period from September 12–13, Hurricane Floyd rapidly intensified, aided by warm waters east of The Bahamas."
31,"During that time, the maximum sustained winds increased from 110 to 155 mph(177 to 249 km/h), making Floyd a strong Category 4 hurricane."
32,"This was based a 90% reduction of an observation by the Hurricane Hunters, which recorded flight-level winds of 171 mph(276 km/h)."
33,"Around the same time, the pressure dropped to 921 mb(921 hPa; 27.2 inHg), which was the fourth-lowest pressure for a hurricane not to reach Category 5 intensity in the Atlantic Ocean – only Hurricanes Iota, Gloria and Opal had lower pressures than Floyd."
34,"Around this time, tropical cyclone forecast models suggested an eventual landfall in the Southeastern United States from Palm Beach, Florida to South Carolina."
35,"At its peak, tropical storm-force winds spanned a diameter of 580 mi(930 km), making Floyd one of the largest Atlantic hurricanes of its intensity ever recorded."
36,"For about 12 hours, Hurricane Floyd remained just below Category 5 status while crossing The Bahamas."
37,"Late on September 13, the eye of the hurricane passed just north of San Salvador and Cat Islands."
38,"On the next day, the hurricane made landfalls on Eleuthera and Abaco islands."
39,"During this time, Floyd underwent an eyewall replacement cycle, in which an outer eyewall developed, causing the original eye to dissipate near Eleuthera."
40,"This caused a temporary drop in sustained winds to Category 3 status, only for Floyd to restrengthen briefly to a Category 4 on September 15."
41,"While approaching the southeastern United States, a strong mid- to upper-level trough eroded the western portion of the high-pressure ridge, which had been steering Floyd for several days."
42,The break in the ridge caused Floyd to turn to the northwest.
43,"After the hurricane completed its eyewall replacement cycle, Floyd had a large 57 mi(93 km) eye."
44,"The large storm gradually weakened after exiting The Bahamas, due to drier air and increasing wind shear."
45,"On September 15, Floyd paralleled the east coast of Florida about 110 mi(170 km) offshore, as it accelerated to the north and north-northeast."
46,"At around 06:30 UTC on September 16, Hurricane Floyd made landfall in Cape Fear, North Carolina with winds of 105 mph(169 km/h), a Category 2."
47,The eyewall had largely dissipated by that time.
48,"Continuing northeastward along a cold front, Floyd moved through eastern North Carolina and southeastern Virginia, weakening to tropical storm status by late on September 16."
49,"The storm gradually lost its tropical characteristics as it quickly moved through the Delmarva Peninsula, eastern New Jersey, Long Island, and New England."
50,"Late on September 17, Floyd transitioned into an extratropical cyclone near the coast of southern Maine."
51,"The storm continued to the northeast, passing through New Brunswick, Prince Edward Island, and Newfoundland on September 18."
52,"On the following day, a larger extratropical storm over the North Atlantic Ocean absorbed what was once Hurricane Floyd."
53,"-Preparations-
Early in Floyd's duration, the hurricane posed a threat to the Lesser Antilles, prompting tropical storm watches for Antigua and Barbuda, Anguilla, Saint Martin, and Saint Barthelemy."
54,"After the storm bypassed the region, the government of The Bahamas issued a tropical storm warning and a hurricane watch for the Turks and Caicos Islands and the southeast Bahamas, as well as hurricane warnings for the central and northwestern Bahamas."
55,"Although Floyd's track prediction was above average while out at sea, the forecasts as it approached the coastline were merely average compared to forecasts from the previous ten years."
56,The official forecasts did not predict Floyd's northward track nor its significant weakening before landfall.
57,"At some point, the NHC issued a hurricane warning for nearly all of the East Coast of the United States, from Florida City, Florida, to Plymouth, Massachusetts; however, only a fraction of this area actually received hurricane-force winds."
58,The last time such widespread hurricane warnings occurred was during Hurricane Donna in 1960.
59,"Initial fears were of a direct hit as a large Category 4 hurricane in Florida, potentially costlier and deadlier than Hurricane Andrew had been in 1992."
60,"In preparation for a potentially catastrophic landfall, more than one million Florida residents were told to evacuate, of which 272,000 were in Miami-Dade County."
61,U.S. President Bill Clinton declared a federal state of emergency in both Florida and Georgia in anticipation of the storm's approach.
62,"As the storm turned to the north, more people were evacuated as a progressively larger area was threatened."
63,"The massive storm prompted what was then the largest peacetime evacuation in U.S. history, with around 2.6 million evacuating coastal areas in Florida, Georgia, and the Carolinas."
64,"With the storm predicted to hit near Cape Canaveral with winds of over 140 mph(230 km/h), all but 80 of Kennedy Space Center's 12,500-person workforce were evacuated."
65,"The hangars that house three space shuttles can withstand winds of only 105 mph(169 km/h), and a direct hit could have resulted in potentially billions of dollars in damage of space equipment."
66,"In the theoretical scenario, the damage would be caused by water, always a potential problem in an area only nine feet above sea level."
67,"If water entered the facility, it would damage the electronics as well as requiring a complete inspection of all hardware."
68,"When Floyd actually passed by the area, Kennedy Space Center only reported light winds with minor water intrusion."
69,"Damage was minor overall, and was repaired easily."
70,A hurricane warning was issued for the North Carolina coastline 27 hours prior to landfall.
