index,0,1
0,"Floyd shortly after peak intensity on September 13, north of Hispaniola","Floyd shortly after peak intensity on September 13, north of Hispaniola"
1,Meteorological history,Meteorological history
2,Formed,"September 7, 1999"
3,Extratropical,"September 17, 1999"
4,Dissipated,"September 19, 1999"
5,Category 4 major hurricane,Category 4 major hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,155 mph (250 km/h)
8,Lowest pressure,921 mbar (hPa); 27.20 inHg
9,Overall effects,Overall effects
10,Fatalities,85
11,Damage,$6.5 billion (1999 USD)
12,Areas affected,"Lucayan Archipelago, East Coast of the United States, Atlantic Canada"
13,IBTrACS,IBTrACS
14,Part of the 1999 Atlantic hurricane season,Part of the 1999 Atlantic hurricane season
15,Effects Florida New Jersey North Carolina Pennsylvania Other wikis Commons: Floyd images,Effects Florida New Jersey North Carolina Pennsylvania Other wikis Commons: Floyd images
