,0,1
0,Frank off the Mexican coast on August 25.,Frank off the Mexican coast on August 25.
1,Meteorological history,Meteorological history
2,Formed,"August 21, 2010"
3,Remnant low,"August 28, 2010"
4,Dissipated,"August 29, 2010"
5,Category 1 hurricane,Category 1 hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,90 mph (150 km/h)
8,Lowest pressure,978 mbar (hPa); 28.88 inHg
9,Overall effects,Overall effects
10,Fatalities,6
11,Damage,$8.3 million
12,Areas affected,"Southwestern Mexico, Western Mexico"
13,IBTrACS / [1],IBTrACS / [1]
14,Part of the 2010 Pacific hurricane season,Part of the 2010 Pacific hurricane season
