,0,1
0,Fred over the Cape Verde Islands on August 31,Fred over the Cape Verde Islands on August 31
1,Meteorological history,Meteorological history
2,Formed,"August 30, 2015"
3,Dissipated,"September 6, 2015"
4,Category 1 hurricane,Category 1 hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,85 mph (140 km/h)
7,Lowest pressure,986 mbar (hPa); 29.12 inHg
8,Overall effects,Overall effects
9,Fatalities,9 direct
10,Damage,$2.5 million (2015 USD)
11,Areas affected,"West Africa, Cape Verde"
12,IBTrACS,IBTrACS
13,Part of the 2015 Atlantic hurricane season,Part of the 2015 Atlantic hurricane season
