index,0,1
0,Gert near peak intensity on September 15,Gert near peak intensity on September 15
1,Meteorological history,Meteorological history
2,Formed,"September 11, 1999"
3,Dissipated,"September 23, 1999"
4,Category 4 major hurricane,Category 4 major hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,150 mph (240 km/h)
7,Lowest pressure,930 mbar (hPa); 27.46 inHg
8,Overall effects,Overall effects
9,Fatalities,2 direct
10,Damage,$1.9 million (1999 USD)
11,Areas affected,"Bermuda, Maine, Atlantic Canada"
12,IBTrACS,IBTrACS
13,Part of the 1999 Atlantic hurricane season,Part of the 1999 Atlantic hurricane season
