index,0,1
0,Gert at peak intensity near landfall in Veracruz on September 20,Gert at peak intensity near landfall in Veracruz on September 20
1,Meteorological history,Meteorological history
2,Formed,"September 14, 1993"
3,Dissipated,"September 26, 1993"
4,Category 2 hurricane,Category 2 hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,100 mph (155 km/h)
7,Lowest pressure,970 mbar (hPa); 28.64 inHg
8,Overall effects,Overall effects
9,Fatalities,116
10,Missing,16
11,Damage,$170 million (1993 USD)
12,Areas affected,"Costa Rica, Nicaragua, Honduras, El Salvador, Guatemala, Belize, Mexico"
13,IBTrACS,IBTrACS
14,Part of the 1993 Atlantic and Pacific hurricane seasons,Part of the 1993 Atlantic and Pacific hurricane seasons
